分数,位次区间,同分人数,建议位次
611,1-52,52,52
610,53-62,10,62
609,63-74,12,74
608,75-83,9,83
607,84-105,22,105
606,106-120,15,120
605,121-133,13,133
604,134-149,16,149
603,150-168,19,168
602,169-186,18,186
601,187-209,23,209
600,210-235,26,235
599,236-275,40,275
598,276-294,19,294
597,295-335,41,335
596,336-376,41,376
595,377-408,32,408
594,409-446,38,446
593,447-481,35,481
592,482-522,41,522
591,523-567,45,567
590,568-613,46,613
589,614-660,47,660
588,661-718,58,718
587,719-782,64,782
586,783-845,63,845
585,846-908,63,908
584,909-977,69,977
583,978-1056,79,1056
582,1057-1110,54,1110
581,1111-1200,90,1200
580,1201-1273,73,1273
579,1274-1345,72,1345
578,1346-1432,87,1432
577,1433-1510,78,1510
576,1511-1592,82,1592
575,1593-1685,93,1685
574,1686-1766,81,1766
573,1767-1862,96,1862
572,1863-1957,95,1957
571,1958-2061,104,2061
570,2062-2159,98,2159
569,2160-2243,84,2243
568,2244-2349,106,2349
567,2350-2462,113,2462
566,2463-2573,111,2573
565,2574-2677,104,2677
564,2678-2817,140,2817
563,2818-2939,122,2939
562,2940-3052,113,3052
561,3053-3180,128,3180
560,3181-3320,140,3320
559,3321-3463,143,3463
558,3464-3607,144,3607
557,3608-3738,131,3738
556,3739-3883,145,3883
555,3884-4039,156,4039
554,4040-4200,161,4200
553,4201-4360,160,4360
552,4361-4508,148,4508
551,4509-4673,165,4673
550,4674-4834,161,4834
549,4835-5004,170,5004
548,5005-5166,162,5166
547,5167-5320,154,5320
546,5321-5484,164,5484
545,5485-5654,170,5654
544,5655-5832,178,5832
543,5833-6020,188,6020
542,6021-6207,187,6207
541,6208-6388,181,6388
540,6389-6559,171,6559
539,6560-6731,172,6731
538,6732-6919,188,6919
537,6920-7103,184,7103
536,7104-7289,186,7289
535,7290-7464,175,7464
534,7465-7643,179,7643
533,7644-7847,204,7847
532,7848-8018,171,8018
531,8019-8216,198,8216
530,8217-8406,190,8406
529,8407-8576,170,8576
528,8577-8774,198,8774
527,8775-8966,192,8966
526,8967-9171,205,9171
525,9172-9366,195,9366
524,9367-9581,215,9581
523,9582-9793,212,9793
522,9794-9989,196,9989
521,9990-10199,210,10199
520,10200-10405,206,10405
519,10406-10611,206,10611
518,10612-10849,238,10849
517,10850-11052,203,11052
516,11053-11279,227,11279
515,11280-11516,237,11516
514,11517-11743,227,11743
513,11744-11983,240,11983
512,11984-12182,199,12182
511,12183-12397,215,12397
510,12398-12626,229,12626
509,12627-12876,250,12876
508,12877-13122,246,13122
507,13123-13341,219,13341
506,13342-13590,249,13590
505,13591-13805,215,13805
504,13806-14044,239,14044
503,14045-14261,217,14261
502,14262-14497,236,14497
501,14498-14703,206,14703
500,14704-14939,236,14939
499,14940-15211,272,15211
498,15212-15442,231,15442
497,15443-15680,238,15680
496,15681-15938,258,15938
495,15939-16173,235,16173
494,16174-16389,216,16389
493,16390-16624,235,16624
492,16625-16869,245,16869
491,16870-17095,226,17095
490,17096-17334,239,17334
489,17335-17611,277,17611
488,17612-17873,262,17873
487,17874-18124,251,18124
486,18125-18369,245,18369
485,18370-18626,257,18626
484,18627-18849,223,18849
483,18850-19101,252,19101
482,19102-19330,229,19330
481,19331-19585,255,19585
480,19586-19815,230,19815
479,19816-20049,234,20049
478,20050-20283,234,20283
477,20284-20491,208,20491
476,20492-20739,248,20739
475,20740-20995,256,20995
474,20996-21244,249,21244
473,21245-21476,232,21476
472,21477-21691,215,21691
471,21692-21936,245,21936
470,21937-22144,208,22144
469,22145-22374,230,22374
468,22375-22595,221,22595
467,22596-22854,259,22854
466,22855-23087,233,23087
465,23088-23301,214,23301
464,23302-23526,225,23526
463,23527-23764,238,23764
462,23765-24028,264,24028
461,24029-24246,218,24246
460,24247-24460,214,24460
459,24461-24709,249,24709
458,24710-24939,230,24939
457,24940-25159,220,25159
456,25160-25440,281,25440
455,25441-25658,218,25658
454,25659-25888,230,25888
453,25889-26108,220,26108
452,26109-26306,198,26306
451,26307-26520,214,26520
450,26521-26717,197,26717
449,26718-26929,212,26929
448,26930-27121,192,27121
447,27122-27346,225,27346
446,27347-27572,226,27572
445,27573-27782,210,27782
444,27783-27990,208,27990
443,27991-28192,202,28192
442,28193-28416,224,28416
441,28417-28628,212,28628
440,28629-28850,222,28850
439,28851-29052,202,29052
438,29053-29264,212,29264
437,29265-29460,196,29460
436,29461-29659,199,29659
435,29660-29861,202,29861
434,29862-30053,192,30053
433,30054-30250,197,30250
432,30251-30432,182,30432
431,30433-30632,200,30632
430,30633-30816,184,30816
429,30817-31005,189,31005
428,31006-31179,174,31179
427,31180-31356,177,31356
426,31357-31546,190,31546
425,31547-31714,168,31714
424,31715-31896,182,31896
423,31897-32091,195,32091
422,32092-32246,155,32246
421,32247-32397,151,32397
420,32398-32567,170,32567
419,32568-32771,204,32771
418,32772-32946,175,32946
417,32947-33125,179,33125
416,33126-33285,160,33285
415,33286-33452,167,33452
414,33453-33622,170,33622
413,33623-33783,161,33783
412,33784-33909,126,33909
411,33910-34073,164,34073
410,34074-34238,165,34238
409,34239-34395,157,34395
408,34396-34570,175,34570
407,34571-34731,161,34731
406,34732-34901,170,34901
405,34902-35066,165,35066
404,35067-35222,156,35222
403,35223-35353,131,35353
402,35354-35516,163,35516
401,35517-35669,153,35669
400,35670-35810,141,35810
399,35811-35961,151,35961
398,35962-36095,134,36095
397,36096-36239,144,36239
396,36240-36370,131,36370
395,36371-36506,136,36506
394,36507-36657,151,36657
393,36658-36789,132,36789
392,36790-36931,142,36931
391,36932-37073,142,37073
390,37074-37203,130,37203
389,37204-37340,137,37340
388,37341-37487,147,37487
387,37488-37611,124,37611
386,37612-37732,121,37732
385,37733-37856,124,37856
384,37857-37979,123,37979
383,37980-38088,109,38088
382,38089-38195,107,38195
381,38196-38306,111,38306
380,38307-38407,101,38407
379,38408-38513,106,38513
378,38514-38614,101,38614
377,38615-38721,107,38721
376,38722-38841,120,38841
375,38842-38952,111,38952
374,38953-39054,102,39054
373,39055-39176,122,39176
372,39177-39267,91,39267
371,39268-39369,102,39369
370,39370-39477,108,39477
369,39478-39581,104,39581
368,39582-39688,107,39688
367,39689-39782,94,39782
366,39783-39889,107,39889
365,39890-39981,92,39981
364,39982-40070,89,40070
363,40071-40158,88,40158
362,40159-40250,92,40250
361,40251-40331,81,40331
360,40332-40419,88,40419
359,40420-40496,77,40496
358,40497-40578,82,40578
357,40579-40658,80,40658
356,40659-40732,74,40732
355,40733-40813,81,40813
354,40814-40881,68,40881
353,40882-40957,76,40957
352,40958-41032,75,41032
351,41033-41106,74,41106
350,41107-41183,77,41183
349,41184-41242,59,41242
348,41243-41296,54,41296
347,41297-41366,70,41366
346,41367-41422,56,41422
345,41423-41480,58,41480
344,41481-41554,74,41554
343,41555-41609,55,41609
342,41610-41654,45,41654
341,41655-41716,62,41716
340,41717-41779,63,41779
339,41780-41828,49,41828
338,41829-41862,34,41862
337,41863-41907,45,41907
336,41908-41955,48,41955
335,41956-41993,38,41993
334,41994-42039,46,42039
333,42040-42080,41,42080
332,42081-42135,55,42135
331,42136-42164,29,42164
330,42165-42206,42,42206
329,42207-42251,45,42251
328,42252-42286,35,42286
327,42287-42328,42,42328
326,42329-42363,35,42363
325,42364-42403,40,42403
324,42404-42430,27,42430
323,42431-42471,41,42471
322,42472-42501,30,42501
321,42502-42534,33,42534
320,42535-42566,32,42566
319,42567-42600,34,42600
318,42601-42623,23,42623
317,42624-42655,32,42655
316,42656-42676,21,42676
315,42677-42708,32,42708
314,42709-42734,26,42734
313,42735-42764,30,42764
312,42765-42792,28,42792
311,42793-42809,17,42809
310,42810-42833,24,42833
309,42834-42852,19,42852
308,42853-42875,23,42875
307,42876-42900,25,42900
306,42901-42918,18,42918
305,42919-42933,15,42933
304,42934-42947,14,42947
303,42948-42961,14,42961
302,42962-42975,14,42975
301,42976-43001,26,43001
300,43002-43022,21,43022
299,43023-43045,23,43045
298,43046-43062,17,43062
297,43063-43075,13,43075
296,43076-43084,9,43084
295,43085-43101,17,43101
294,43102-43113,12,43113
293,43114-43131,18,43131
292,43132-43147,16,43147
291,43148-43162,15,43162
290,43163-43173,11,43173
289,43174-43189,16,43189
288,43190-43199,10,43199
287,43200-43208,9,43208
286,43209-43220,12,43220
285,43221-43234,14,43234
284,43235-43241,7,43241
283,43242-43254,13,43254
282,43255-43263,9,43263
281,43264-43271,8,43271
280,43272-43283,12,43283
279,43284-43289,6,43289
278,43290-43292,3,43292
277,43293-43297,5,43297
276,43298-43301,4,43301
275,43302-43309,8,43309
274,43310-43319,10,43319
273,43320-43325,6,43325
272,43326-43335,10,43335
271,43336-43337,2,43337
270,43338-43345,8,43345
269,43346-43355,10,43355
268,43356-43360,5,43360
267,43361-43364,4,43364
266,43365-43373,9,43373
265,43374-43381,8,43381
264,43382-43390,9,43390
263,43391-43395,5,43395
262,43396-43404,9,43404
261,43405-43409,5,43409
