分数,位次区间,同分人数,建议位次
673,1-113,113,113
672,114-115,2,115
671,116-123,8,123
670,124-130,7,130
669,131-140,10,140
668,141-156,16,156
667,157-167,11,167
666,168-176,9,176
665,177-192,16,192
664,193-210,18,210
663,211-221,11,221
662,222-236,15,236
661,237-249,13,249
660,250-267,18,267
659,268-280,13,280
658,281-293,13,293
657,294-309,16,309
656,310-321,12,321
655,322-350,29,350
654,351-370,20,370
653,371-388,18,388
652,389-412,24,412
651,413-435,23,435
650,436-463,28,463
649,464-499,36,499
648,500-524,25,524
647,525-550,26,550
646,551-583,33,583
645,584-608,25,608
644,609-633,25,633
643,634-670,37,670
642,671-707,37,707
641,708-742,35,742
640,743-784,42,784
639,785-822,38,822
638,823-866,44,866
637,867-911,45,911
636,912-964,53,964
635,965-1000,36,1000
634,1001-1043,43,1043
633,1044-1080,37,1080
632,1081-1124,44,1124
631,1125-1178,54,1178
630,1179-1227,49,1227
629,1228-1276,49,1276
628,1277-1328,52,1328
627,1329-1386,58,1386
626,1387-1454,68,1454
625,1455-1514,60,1514
624,1515-1579,65,1579
623,1580-1644,65,1644
622,1645-1698,54,1698
621,1699-1762,64,1762
620,1763-1812,50,1812
619,1813-1867,55,1867
618,1868-1949,82,1949
617,1950-2023,74,2023
616,2024-2091,68,2091
615,2092-2173,82,2173
614,2174-2265,92,2265
613,2266-2359,94,2359
612,2360-2427,68,2427
611,2428-2516,89,2516
610,2517-2599,83,2599
609,2600-2666,67,2666
608,2667-2754,88,2754
607,2755-2838,84,2838
606,2839-2927,89,2927
605,2928-3019,92,3019
604,3020-3121,102,3121
603,3122-3211,90,3211
602,3212-3320,109,3320
601,3321-3404,84,3404
600,3405-3507,103,3507
599,3508-3614,107,3614
598,3615-3716,102,3716
597,3717-3835,119,3835
596,3836-3927,92,3927
595,3928-4040,113,4040
594,4041-4173,133,4173
593,4174-4291,118,4291
592,4292-4396,105,4396
591,4397-4518,122,4518
590,4519-4618,100,4618
589,4619-4717,99,4717
588,4718-4837,120,4837
587,4838-4974,137,4974
586,4975-5095,121,5095
585,5096-5230,135,5230
584,5231-5353,123,5353
583,5354-5494,141,5494
582,5495-5610,116,5610
581,5611-5738,128,5738
580,5739-5861,123,5861
579,5862-6003,142,6003
578,6004-6159,156,6159
577,6160-6293,134,6293
576,6294-6430,137,6430
575,6431-6550,120,6550
574,6551-6687,137,6687
573,6688-6845,158,6845
572,6846-6982,137,6982
571,6983-7125,143,7125
570,7126-7256,131,7256
569,7257-7400,144,7400
568,7401-7549,149,7549
567,7550-7711,162,7711
566,7712-7872,161,7872
565,7873-8032,160,8032
564,8033-8185,153,8185
563,8186-8355,170,8355
562,8356-8500,145,8500
561,8501-8640,140,8640
560,8641-8802,162,8802
559,8803-8954,152,8954
558,8955-9146,192,9146
557,9147-9317,171,9317
556,9318-9474,157,9474
555,9475-9646,172,9646
554,9647-9819,173,9819
553,9820-10006,187,10006
552,10007-10165,159,10165
551,10166-10334,169,10334
550,10335-10523,189,10523
549,10524-10707,184,10707
548,10708-10882,175,10882
547,10883-11068,186,11068
546,11069-11250,182,11250
545,11251-11432,182,11432
544,11433-11600,168,11600
543,11601-11794,194,11794
542,11795-12007,213,12007
541,12008-12175,168,12175
540,12176-12348,173,12348
539,12349-12550,202,12550
538,12551-12731,181,12731
537,12732-12925,194,12925
536,12926-13100,175,13100
535,13101-13279,179,13279
534,13280-13471,192,13471
533,13472-13654,183,13654
532,13655-13851,197,13851
531,13852-14036,185,14036
530,14037-14232,196,14232
529,14233-14446,214,14446
528,14447-14666,220,14666
527,14667-14895,229,14895
526,14896-15094,199,15094
525,15095-15303,209,15303
524,15304-15521,218,15521
523,15522-15720,199,15720
522,15721-15910,190,15910
521,15911-16119,209,16119
520,16120-16321,202,16321
519,16322-16541,220,16541
518,16542-16756,215,16756
517,16757-16981,225,16981
516,16982-17193,212,17193
515,17194-17413,220,17413
514,17414-17617,204,17617
513,17618-17822,205,17822
512,17823-18031,209,18031
511,18032-18232,201,18232
510,18233-18445,213,18445
509,18446-18682,237,18682
508,18683-18891,209,18891
507,18892-19083,192,19083
506,19084-19317,234,19317
505,19318-19545,228,19545
504,19546-19764,219,19764
503,19765-19977,213,19977
502,19978-20181,204,20181
501,20182-20394,213,20394
500,20395-20644,250,20644
499,20645-20868,224,20868
498,20869-21056,188,21056
497,21057-21272,216,21272
496,21273-21496,224,21496
495,21497-21725,229,21725
494,21726-21943,218,21943
493,21944-22159,216,22159
492,22160-22368,209,22368
491,22369-22609,241,22609
490,22610-22845,236,22845
489,22846-23082,237,23082
488,23083-23337,255,23337
487,23338-23579,242,23579
486,23580-23829,250,23829
485,23830-24070,241,24070
484,24071-24276,206,24276
483,24277-24520,244,24520
482,24521-24746,226,24746
481,24747-24973,227,24973
480,24974-25224,251,25224
479,25225-25453,229,25453
478,25454-25681,228,25681
477,25682-25894,213,25894
476,25895-26144,250,26144
475,26145-26376,232,26376
474,26377-26636,260,26636
473,26637-26895,259,26895
472,26896-27118,223,27118
471,27119-27356,238,27356
470,27357-27594,238,27594
469,27595-27820,226,27820
468,27821-28070,250,28070
467,28071-28292,222,28292
466,28293-28557,265,28557
465,28558-28794,237,28794
464,28795-29031,237,29031
463,29032-29292,261,29292
462,29293-29518,226,29518
461,29519-29771,253,29771
460,29772-29996,225,29996
459,29997-30223,227,30223
458,30224-30466,243,30466
457,30467-30712,246,30712
456,30713-30961,249,30961
455,30962-31201,240,31201
454,31202-31460,259,31460
453,31461-31718,258,31718
452,31719-31959,241,31959
451,31960-32232,273,32232
450,32233-32447,215,32447
449,32448-32726,279,32726
448,32727-32959,233,32959
447,32960-33212,253,33212
446,33213-33461,249,33461
445,33462-33703,242,33703
444,33704-33952,249,33952
443,33953-34169,217,34169
442,34170-34386,217,34386
441,34387-34614,228,34614
440,34615-34867,253,34867
439,34868-35104,237,35104
438,35105-35363,259,35363
437,35364-35612,249,35612
436,35613-35862,250,35862
435,35863-36081,219,36081
434,36082-36322,241,36322
433,36323-36567,245,36567
432,36568-36827,260,36827
431,36828-37095,268,37095
430,37096-37344,249,37344
429,37345-37583,239,37583
428,37584-37853,270,37853
427,37854-38108,255,38108
426,38109-38358,250,38358
425,38359-38609,251,38609
424,38610-38856,247,38856
423,38857-39120,264,39120
422,39121-39410,290,39410
421,39411-39677,267,39677
420,39678-39927,250,39927
419,39928-40199,272,40199
418,40200-40451,252,40451
417,40452-40705,254,40705
416,40706-40968,263,40968
415,40969-41236,268,41236
414,41237-41477,241,41477
413,41478-41741,264,41741
412,41742-42004,263,42004
411,42005-42273,269,42273
410,42274-42503,230,42503
409,42504-42742,239,42742
408,42743-42988,246,42988
407,42989-43254,266,43254
406,43255-43521,267,43521
405,43522-43749,228,43749
404,43750-44007,258,44007
403,44008-44265,258,44265
402,44266-44527,262,44527
401,44528-44803,276,44803
400,44804-45038,235,45038
399,45039-45287,249,45287
398,45288-45551,264,45551
397,45552-45813,262,45813
396,45814-46079,266,46079
395,46080-46300,221,46300
394,46301-46563,263,46563
393,46564-46809,246,46809
392,46810-47021,212,47021
391,47022-47255,234,47255
390,47256-47496,241,47496
389,47497-47737,241,47737
388,47738-47997,260,47997
387,47998-48264,267,48264
386,48265-48504,240,48504
385,48505-48768,264,48768
384,48769-49013,245,49013
383,49014-49235,222,49235
382,49236-49500,265,49500
381,49501-49764,264,49764
380,49765-50017,253,50017
379,50018-50244,227,50244
378,50245-50495,251,50495
377,50496-50726,231,50726
376,50727-50984,258,50984
375,50985-51260,276,51260
374,51261-51491,231,51491
373,51492-51717,226,51717
372,51718-51982,265,51982
371,51983-52226,244,52226
370,52227-52462,236,52462
369,52463-52719,257,52719
368,52720-52945,226,52945
367,52946-53169,224,53169
366,53170-53412,243,53412
365,53413-53641,229,53641
364,53642-53878,237,53878
363,53879-54122,244,54122
362,54123-54328,206,54328
361,54329-54578,250,54578
360,54579-54806,228,54806
359,54807-55025,219,55025
358,55026-55251,226,55251
357,55252-55463,212,55463
356,55464-55684,221,55684
355,55685-55886,202,55886
354,55887-56100,214,56100
353,56101-56333,233,56333
352,56334-56557,224,56557
351,56558-56780,223,56780
350,56781-57014,234,57014
349,57015-57236,222,57236
348,57237-57449,213,57449
347,57450-57681,232,57681
346,57682-57887,206,57887
345,57888-58104,217,58104
344,58105-58287,183,58287
343,58288-58493,206,58493
342,58494-58696,203,58696
341,58697-58905,209,58905
340,58906-59115,210,59115
339,59116-59300,185,59300
338,59301-59515,215,59515
337,59516-59699,184,59699
336,59700-59894,195,59894
335,59895-60095,201,60095
334,60096-60323,228,60323
333,60324-60510,187,60510
332,60511-60689,179,60689
331,60690-60883,194,60883
330,60884-61068,185,61068
329,61069-61246,178,61246
328,61247-61429,183,61429
327,61430-61622,193,61622
326,61623-61815,193,61815
325,61816-62016,201,62016
324,62017-62184,168,62184
323,62185-62371,187,62371
322,62372-62564,193,62564
321,62565-62737,173,62737
320,62738-62931,194,62931
319,62932-63128,197,63128
318,63129-63310,182,63310
317,63311-63484,174,63484
316,63485-63671,187,63671
315,63672-63844,173,63844
314,63845-64008,164,64008
313,64009-64177,169,64177
312,64178-64353,176,64353
311,64354-64520,167,64520
310,64521-64700,180,64700
309,64701-64880,180,64880
308,64881-65052,172,65052
307,65053-65204,152,65204
306,65205-65363,159,65363
305,65364-65492,129,65492
304,65493-65654,162,65654
303,65655-65806,152,65806
302,65807-65971,165,65971
301,65972-66113,142,66113
300,66114-66277,164,66277
299,66278-66419,142,66419
298,66420-66583,164,66583
297,66584-66744,161,66744
296,66745-66894,150,66894
295,66895-67044,150,67044
294,67045-67202,158,67202
293,67203-67336,134,67336
292,67337-67481,145,67481
291,67482-67617,136,67617
290,67618-67754,137,67754
289,67755-67903,149,67903
288,67904-68037,134,68037
287,68038-68174,137,68174
286,68175-68314,140,68314
285,68315-68438,124,68438
284,68439-68571,133,68571
283,68572-68716,145,68716
282,68717-68857,141,68857
281,68858-68987,130,68987
280,68988-69108,121,69108
279,69109-69227,119,69227
278,69228-69357,130,69357
277,69358-69456,99,69456
276,69457-69558,102,69558
275,69559-69679,121,69679
274,69680-69777,98,69777
273,69778-69887,110,69887
272,69888-70022,135,70022
271,70023-70151,129,70151
270,70152-70242,91,70242
269,70243-70369,127,70369
268,70370-70494,125,70494
267,70495-70594,100,70594
266,70595-70702,108,70702
265,70703-70818,116,70818
264,70819-70902,84,70902
263,70903-71003,101,71003
262,71004-71089,86,71089
261,71090-71214,125,71214
260,71215-71324,110,71324
259,71325-71412,88,71412
258,71413-71523,111,71523
257,71524-71617,94,71617
256,71618-71736,119,71736
255,71737-71828,92,71828
254,71829-71920,92,71920
253,71921-72008,88,72008
252,72009-72098,90,72098
251,72099-72183,85,72183
250,72184-72268,85,72268
249,72269-72345,77,72345
248,72346-72432,87,72432
247,72433-72504,72,72504
246,72505-72601,97,72601
245,72602-72674,73,72674
244,72675-72761,87,72761
243,72762-72837,76,72837
242,72838-72914,77,72914
241,72915-73004,90,73004
240,73005-73077,73,73077
239,73078-73164,87,73164
238,73165-73232,68,73232
237,73233-73310,78,73310
236,73311-73372,62,73372
235,73373-73445,73,73445
234,73446-73512,67,73512
233,73513-73577,65,73577
232,73578-73661,84,73661
231,73662-73735,74,73735
230,73736-73789,54,73789
229,73790-73840,51,73840
228,73841-73907,67,73907
227,73908-73968,61,73968
226,73969-74033,65,74033
225,74034-74088,55,74088
224,74089-74142,54,74142
223,74143-74197,55,74197
222,74198-74276,79,74276
221,74277-74329,53,74329
220,74330-74387,58,74387
219,74388-74438,51,74438
218,74439-74501,63,74501
217,74502-74547,46,74547
216,74548-74589,42,74589
215,74590-74650,61,74650
214,74651-74691,41,74691
213,74692-74746,55,74746
212,74747-74796,50,74796
211,74797-74841,45,74841
210,74842-74882,41,74882
209,74883-74922,40,74922
208,74923-74958,36,74958
207,74959-74999,41,74999
206,75000-75051,52,75051
205,75052-75083,32,75083
204,75084-75119,36,75119
203,75120-75154,35,75154
202,75155-75190,36,75190
201,75191-75215,25,75215
