分数,位次区间,同分人数,建议位次
701,1-38,38,38
700,39-43,5,43
699,44-49,6,49
698,50-59,10,59
697,60-70,11,70
696,71-81,11,81
695,82-86,5,86
694,87-98,12,98
693,99-104,6,104
692,105-121,17,121
691,122-143,22,143
690,144-155,12,155
689,156-165,10,165
688,166-184,19,184
687,185-198,14,198
686,199-221,23,221
685,222-234,13,234
684,235-260,26,260
683,261-286,26,286
682,287-312,26,312
681,313-343,31,343
680,344-368,25,368
679,369-394,26,394
678,395-431,37,431
677,432-467,36,467
676,468-492,25,492
675,493-528,36,528
674,529-558,30,558
673,559-585,27,585
672,586-622,37,622
671,623-665,43,665
670,666-702,37,702
669,703-733,31,733
668,734-766,33,766
667,767-801,35,801
666,802-847,46,847
665,848-895,48,895
664,896-949,54,949
663,950-1003,54,1003
662,1004-1051,48,1051
661,1052-1092,41,1092
660,1093-1146,54,1146
659,1147-1192,46,1192
658,1193-1254,62,1254
657,1255-1315,61,1315
656,1316-1365,50,1365
655,1366-1405,40,1405
654,1406-1451,46,1451
653,1452-1506,55,1506
652,1507-1564,58,1564
651,1565-1621,57,1621
650,1622-1672,51,1672
649,1673-1744,72,1744
648,1745-1814,70,1814
647,1815-1891,77,1891
646,1892-1966,75,1966
645,1967-2025,59,2025
644,2026-2100,75,2100
643,2101-2169,69,2169
642,2170-2253,84,2253
641,2254-2325,72,2325
640,2326-2396,71,2396
639,2397-2471,75,2471
638,2472-2535,64,2535
637,2536-2607,72,2607
636,2608-2690,83,2690
635,2691-2772,82,2772
634,2773-2842,70,2842
633,2843-2915,73,2915
632,2916-2976,61,2976
631,2977-3049,73,3049
630,3050-3139,90,3139
629,3140-3234,95,3234
628,3235-3315,81,3315
627,3316-3394,79,3394
626,3395-3473,79,3473
625,3474-3562,89,3562
624,3563-3650,88,3650
623,3651-3733,83,3733
622,3734-3820,87,3820
621,3821-3888,68,3888
620,3889-3970,82,3970
619,3971-4046,76,4046
618,4047-4134,88,4134
617,4135-4220,86,4220
616,4221-4285,65,4285
615,4286-4360,75,4360
614,4361-4454,94,4454
613,4455-4560,106,4560
612,4561-4659,99,4659
611,4660-4725,66,4725
610,4726-4811,86,4811
609,4812-4902,91,4902
608,4903-5003,101,5003
607,5004-5105,102,5105
606,5106-5207,102,5207
605,5208-5310,103,5310
604,5311-5398,88,5398
603,5399-5492,94,5492
602,5493-5587,95,5587
601,5588-5679,92,5679
600,5680-5790,111,5790
599,5791-5895,105,5895
598,5896-5988,93,5988
597,5989-6097,109,6097
596,6098-6204,107,6204
595,6205-6311,107,6311
594,6312-6398,87,6398
593,6399-6517,119,6517
592,6518-6608,91,6608
591,6609-6703,95,6703
590,6704-6800,97,6800
589,6801-6902,102,6902
588,6903-7018,116,7018
587,7019-7118,100,7118
586,7119-7233,115,7233
585,7234-7335,102,7335
584,7336-7448,113,7448
583,7449-7548,100,7548
582,7549-7648,100,7648
581,7649-7755,107,7755
580,7756-7852,97,7852
579,7853-7974,122,7974
578,7975-8077,103,8077
577,8078-8202,125,8202
576,8203-8299,97,8299
575,8300-8428,129,8428
574,8429-8538,110,8538
573,8539-8638,100,8638
572,8639-8750,112,8750
571,8751-8877,127,8877
570,8878-8991,114,8991
569,8992-9117,126,9117
568,9118-9224,107,9224
567,9225-9331,107,9331
566,9332-9457,126,9457
565,9458-9590,133,9590
564,9591-9735,145,9735
563,9736-9846,111,9846
562,9847-9967,121,9967
561,9968-10080,113,10080
560,10081-10220,140,10220
559,10221-10323,103,10323
558,10324-10448,125,10448
557,10449-10568,120,10568
556,10569-10677,109,10677
555,10678-10817,140,10817
554,10818-10937,120,10937
553,10938-11057,120,11057
552,11058-11183,126,11183
551,11184-11301,118,11301
550,11302-11417,116,11417
549,11418-11532,115,11532
548,11533-11646,114,11646
547,11647-11776,130,11776
546,11777-11911,135,11911
545,11912-12047,136,12047
544,12048-12163,116,12163
543,12164-12290,127,12290
542,12291-12435,145,12435
541,12436-12569,134,12569
540,12570-12700,131,12700
539,12701-12825,125,12825
538,12826-12940,115,12940
537,12941-13048,108,13048
536,13049-13168,120,13168
535,13169-13295,127,13295
534,13296-13437,142,13437
533,13438-13582,145,13582
532,13583-13700,118,13700
531,13701-13833,133,13833
530,13834-13961,128,13961
529,13962-14078,117,14078
528,14079-14214,136,14214
527,14215-14340,126,14340
526,14341-14483,143,14483
525,14484-14604,121,14604
524,14605-14719,115,14719
523,14720-14841,122,14841
522,14842-14971,130,14971
521,14972-15095,124,15095
520,15096-15229,134,15229
519,15230-15351,122,15351
518,15352-15482,131,15482
517,15483-15618,136,15618
516,15619-15737,119,15737
515,15738-15876,139,15876
514,15877-16017,141,16017
513,16018-16156,139,16156
512,16157-16295,139,16295
511,16296-16439,144,16439
510,16440-16584,145,16584
509,16585-16712,128,16712
508,16713-16836,124,16836
507,16837-16959,123,16959
506,16960-17100,141,17100
505,17101-17236,136,17236
504,17237-17398,162,17398
503,17399-17528,130,17528
502,17529-17657,129,17657
501,17658-17788,131,17788
500,17789-17899,111,17899
499,17900-18046,147,18046
498,18047-18170,124,18170
497,18171-18303,133,18303
496,18304-18461,158,18461
495,18462-18604,143,18604
494,18605-18732,128,18732
493,18733-18870,138,18870
492,18871-18986,116,18986
491,18987-19131,145,19131
490,19132-19264,133,19264
489,19265-19412,148,19412
488,19413-19553,141,19553
487,19554-19688,135,19688
486,19689-19834,146,19834
485,19835-19981,147,19981
484,19982-20114,133,20114
483,20115-20267,153,20267
482,20268-20398,131,20398
481,20399-20528,130,20528
480,20529-20664,136,20664
479,20665-20816,152,20816
478,20817-20964,148,20964
477,20965-21127,163,21127
476,21128-21268,141,21268
475,21269-21423,155,21423
474,21424-21549,126,21549
473,21550-21687,138,21687
472,21688-21815,128,21815
471,21816-21949,134,21949
470,21950-22093,144,22093
469,22094-22222,129,22222
468,22223-22359,137,22359
467,22360-22489,130,22489
466,22490-22639,150,22639
465,22640-22780,141,22780
464,22781-22918,138,22918
463,22919-23063,145,23063
462,23064-23183,120,23183
461,23184-23318,135,23318
460,23319-23475,157,23475
459,23476-23587,112,23587
458,23588-23711,124,23711
457,23712-23847,136,23847
456,23848-23982,135,23982
455,23983-24124,142,24124
454,24125-24284,160,24284
453,24285-24429,145,24429
452,24430-24563,134,24563
451,24564-24724,161,24724
450,24725-24824,100,24824
449,24825-24967,143,24967
448,24968-25103,136,25103
447,25104-25247,144,25247
446,25248-25371,124,25371
445,25372-25508,137,25508
444,25509-25639,131,25639
443,25640-25756,117,25756
442,25757-25901,145,25901
441,25902-26029,128,26029
440,26030-26169,140,26169
439,26170-26309,140,26309
438,26310-26432,123,26432
437,26433-26555,123,26555
436,26556-26686,131,26686
435,26687-26811,125,26811
434,26812-26939,128,26939
433,26940-27067,128,27067
432,27068-27190,123,27190
431,27191-27318,128,27318
430,27319-27442,124,27442
429,27443-27568,126,27568
428,27569-27705,137,27705
427,27706-27831,126,27831
426,27832-27927,96,27927
425,27928-28039,112,28039
424,28040-28156,117,28156
423,28157-28274,118,28274
422,28275-28399,125,28399
421,28400-28524,125,28524
420,28525-28636,112,28636
419,28637-28754,118,28754
418,28755-28873,119,28873
417,28874-28993,120,28993
416,28994-29093,100,29093
415,29094-29199,106,29199
414,29200-29313,114,29313
413,29314-29408,95,29408
412,29409-29509,101,29509
411,29510-29603,94,29603
410,29604-29710,107,29710
409,29711-29814,104,29814
408,29815-29908,94,29908
407,29909-30016,108,30016
406,30017-30108,92,30108
405,30109-30188,80,30188
404,30189-30292,104,30292
403,30293-30394,102,30394
402,30395-30482,88,30482
401,30483-30576,94,30576
400,30577-30660,84,30660
399,30661-30761,101,30761
398,30762-30841,80,30841
397,30842-30932,91,30932
396,30933-31016,84,31016
395,31017-31108,92,31108
394,31109-31198,90,31198
393,31199-31278,80,31278
392,31279-31374,96,31374
391,31375-31468,94,31468
390,31469-31544,76,31544
389,31545-31629,85,31629
388,31630-31717,88,31717
387,31718-31789,72,31789
386,31790-31871,82,31871
385,31872-31959,88,31959
384,31960-32045,86,32045
383,32046-32135,90,32135
382,32136-32213,78,32213
381,32214-32288,75,32288
380,32289-32372,84,32372
379,32373-32447,75,32447
378,32448-32520,73,32520
377,32521-32610,90,32610
376,32611-32673,63,32673
375,32674-32745,72,32745
374,32746-32821,76,32821
373,32822-32890,69,32890
372,32891-32963,73,32963
371,32964-33022,59,33022
370,33023-33098,76,33098
369,33099-33165,67,33165
368,33166-33244,79,33244
367,33245-33313,69,33313
366,33314-33370,57,33370
365,33371-33427,57,33427
364,33428-33506,79,33506
363,33507-33573,67,33573
362,33574-33638,65,33638
361,33639-33691,53,33691
360,33692-33757,66,33757
359,33758-33811,54,33811
358,33812-33875,64,33875
357,33876-33934,59,33934
356,33935-33988,54,33988
355,33989-34045,57,34045
354,34046-34095,50,34095
353,34096-34148,53,34148
352,34149-34202,54,34202
351,34203-34261,59,34261
350,34262-34312,51,34312
349,34313-34373,61,34373
348,34374-34426,53,34426
347,34427-34473,47,34473
346,34474-34513,40,34513
345,34514-34556,43,34556
344,34557-34614,58,34614
343,34615-34657,43,34657
342,34658-34703,46,34703
341,34704-34742,39,34742
340,34743-34789,47,34789
339,34790-34838,49,34838
338,34839-34873,35,34873
337,34874-34915,42,34915
336,34916-34958,43,34958
335,34959-35003,45,35003
334,35004-35038,35,35038
333,35039-35086,48,35086
332,35087-35118,32,35118
331,35119-35164,46,35164
330,35165-35201,37,35201
329,35202-35237,36,35237
328,35238-35268,31,35268
327,35269-35298,30,35298
326,35299-35337,39,35337
325,35338-35372,35,35372
324,35373-35414,42,35414
323,35415-35450,36,35450
322,35451-35475,25,35475
321,35476-35505,30,35505
320,35506-35539,34,35539
319,35540-35580,41,35580
318,35581-35607,27,35607
317,35608-35639,32,35639
316,35640-35672,33,35672
315,35673-35700,28,35700
314,35701-35731,31,35731
313,35732-35758,27,35758
312,35759-35783,25,35783
311,35784-35803,20,35803
310,35804-35821,18,35821
309,35822-35851,30,35851
308,35852-35877,26,35877
307,35878-35900,23,35900
306,35901-35919,19,35919
305,35920-35940,21,35940
304,35941-35966,26,35966
303,35967-35987,21,35987
302,35988-36010,23,36010
301,36011-36033,23,36033
300,36034-36055,22,36055
299,36056-36074,19,36074
298,36075-36095,21,36095
297,36096-36109,14,36109
296,36110-36131,22,36131
295,36132-36143,12,36143
294,36144-36163,20,36163
293,36164-36181,18,36181
292,36182-36200,19,36200
291,36201-36213,13,36213
290,36214-36238,25,36238
289,36239-36254,16,36254
288,36255-36272,18,36272
287,36273-36290,18,36290
286,36291-36309,19,36309
285,36310-36327,18,36327
284,36328-36343,16,36343
283,36344-36359,16,36359
282,36360-36373,14,36373
281,36374-36388,15,36388
280,36389-36406,18,36406
279,36407-36424,18,36424
278,36425-36439,15,36439
277,36440-36453,14,36453
276,36454-36462,9,36462
275,36463-36474,12,36474
274,36475-36493,19,36493
273,36494-36504,11,36504
272,36505-36526,22,36526
271,36527-36532,6,36532
270,36533-36549,17,36549
269,36550-36564,15,36564
268,36565-36572,8,36572
267,36573-36587,15,36587
266,36588-36603,16,36603
265,36604-36619,16,36619
264,36620-36630,11,36630
263,36631-36639,9,36639
262,36640-36644,5,36644
261,36645-36654,10,36654
260,36655-36663,9,36663
259,36664-36675,12,36675
258,36676-36689,14,36689
257,36690-36697,8,36697
256,36698-36707,10,36707
255,36708-36717,10,36717
254,36718-36722,5,36722
253,36723-36729,7,36729
252,36730-36739,10,36739
251,36740-36745,6,36745
250,36746-36754,9,36754
249,36755-36765,11,36765
248,36766-36778,13,36778
247,36779-36786,8,36786
246,36787-36799,13,36799
245,36800-36806,7,36806
244,36807-36814,8,36814
243,36815-36825,11,36825
242,36826-36834,9,36834
241,36835-36838,4,36838
240,36839-36848,10,36848
239,36849-36853,5,36853
238,36854-36858,5,36858
237,36859-36865,7,36865
236,36866-36870,5,36870
235,36871-36879,9,36879
234,36880-36885,6,36885
233,36886-36891,6,36891
232,36892-36899,8,36899
231,36900-36903,4,36903
230,36904-36909,6,36909
229,36910-36913,4,36913
228,36914-36919,6,36919
227,36920-36927,8,36927
226,36928-36933,6,36933
225,36934-36936,3,36936
224,36937-36944,8,36944
223,36945-36947,3,36947
222,36948-36954,7,36954
221,36955-36960,6,36960
220,36961-36971,11,36971
219,36972-36981,10,36981
218,36982-36988,7,36988
217,36989-36990,2,36990
216,36991-36996,6,36996
215,36997-36999,3,36999
214,37000-37004,5,37004
213,37005-37006,2,37006
212,37007-37010,4,37010
211,37011-37013,3,37013
210,37014-37017,4,37017
209,37018-37022,5,37022
208,37023-37027,5,37027
207,37028-37034,7,37034
206,37035-37037,3,37037
205,37038-37042,5,37042
204,37043-37044,2,37044
203,37045-37047,3,37047
202,37048-37049,2,37049
201,37050-37052,3,37052
200,37053-37057,5,37057
199,37058-37073,16,37073
198,37074-37088,15,37088
197,37089-37104,16,37104
196,37105-37115,11,37115
195,37116-37127,12,37127
194,37128-37148,21,37148
193,37149-37161,13,37161
192,37162-37171,10,37171
191,37172-37189,18,37189
190,37190-37199,10,37199
189,37200-37216,17,37216
188,37217-37225,9,37225
187,37226-37237,12,37237
186,37238-37255,18,37255
185,37256-37266,11,37266
184,37267-37280,14,37280
183,37281-37296,16,37296
182,37297-37304,8,37304
181,37305-37312,8,37312
180,37313-37319,7,37319
179,37320-37326,7,37326
178,37327-37334,8,37334
177,37335-37345,11,37345
176,37346-37355,10,37355
175,37356-37362,7,37362
174,37363-37364,2,37364
173,37365-37373,9,37373
172,37374-37381,8,37381
171,37382-37391,10,37391
170,37392-37399,8,37399
169,37400-37405,6,37405
168,37406-37408,3,37408
167,37409-37412,4,37412
166,37413-37423,11,37423
165,37424-37435,12,37435
164,37436-37442,7,37442
163,37443-37448,6,37448
162,37449-37456,8,37456
161,37457-37466,10,37466
160,37467-37469,3,37469
159,37470-37477,8,37477
158,37478-37486,9,37486
157,37487-37489,3,37489
156,37490-37494,5,37494
155,37495-37498,4,37498
154,37499-37503,5,37503
153,37504-37507,4,37507
152,37508-37510,3,37510
151,37511-37511,1,37511
150,37512-37514,3,37514
149,37515-37516,2,37516
148,37517-37520,4,37520
147,37521-37523,3,37523
146,37524-37525,2,37525
145,37526-37529,4,37529
144,37530-37529,0,37529
143,37530-37536,7,37536
142,37537-37536,0,37536
141,37537-37541,5,37541
140,37542-37543,2,37543
139,37544-37545,2,37545
138,37546-37547,2,37547
137,37548-37548,1,37548
136,37549-37552,4,37552
135,37553-37553,1,37553
134,37554-37558,5,37558
133,37559-37559,1,37559
131,37560-37561,2,37561
130,37562-37564,3,37564
129,37565-37565,1,37565
128,37566-37567,2,37567
127,37568-37572,5,37572
126,37573-37573,1,37573
125,37574-37574,1,37574
124,37575-37576,2,37576
123,37577-37578,2,37578
122,37579-37580,2,37580
121,37581-37584,4,37584
120,37585-37585,1,37585
119,37586-37585,0,37585
118,37586-37588,3,37588
117,37589-37588,0,37588
116,37589-37589,1,37589
115,37590-37594,5,37594
114,37595-37594,0,37594
113,37595-37595,1,37595
112,37596-37598,3,37598
111,37599-37599,1,37599
110,37600-37600,1,37600
109,37601-37601,1,37601
106,37602-37601,0,37601
105,37602-37602,1,37602
104,37603-37602,0,37602
103,37603-37603,1,37603
101,37604-37603,0,37603
100,37604-37605,2,37605
99,37606-37608,3,37608
98,37609-37610,2,37610
97,37611-37612,2,37612
96,37613-37614,2,37614
95,37615-37614,0,37614
94,37615-37616,2,37616
93,37617-37617,1,37617
92,37618-37618,1,37618
91,37619-37620,2,37620
90,37621-37620,0,37620
89,37621-37621,1,37621
88,37622-37622,1,37622
87,37623-37622,0,37622
86,37623-37626,4,37626
85,37627-37628,2,37628
84,37629-37631,3,37631
82,37632-37631,0,37631
81,37632-37635,4,37635
80,37636-37636,1,37636
