分数,位次区间,同分人数,建议位次
700,1-80,80,80
699,81-94,14,94
698,95-104,10,104
697,105-116,12,116
696,117-130,14,130
695,131-148,18,148
694,149-166,18,166
693,167-187,21,187
692,188-210,23,210
691,211-231,21,231
690,232-262,31,262
689,263-289,27,289
688,290-324,35,324
687,325-369,45,369
686,370-395,26,395
685,396-419,24,419
684,420-448,29,448
683,449-478,30,478
682,479-521,43,521
681,522-567,46,567
680,568-607,40,607
679,608-646,39,646
678,647-691,45,691
677,692-730,39,730
676,731-768,38,768
675,769-820,52,820
674,821-882,62,882
673,883-942,60,942
672,943-994,52,994
671,995-1057,63,1057
670,1058-1112,55,1112
669,1113-1168,56,1168
668,1169-1226,58,1226
667,1227-1297,71,1297
666,1298-1368,71,1368
665,1369-1437,69,1437
664,1438-1499,62,1499
663,1500-1567,68,1567
662,1568-1631,64,1631
661,1632-1694,63,1694
660,1695-1776,82,1776
659,1777-1846,70,1846
658,1847-1924,78,1924
657,1925-2009,85,2009
656,2010-2108,99,2108
655,2109-2209,101,2209
654,2210-2285,76,2285
653,2286-2349,64,2349
652,2350-2423,74,2423
651,2424-2504,81,2504
650,2505-2596,92,2596
649,2597-2707,111,2707
648,2708-2818,111,2818
647,2819-2912,94,2912
646,2913-3000,88,3000
645,3001-3089,89,3089
644,3090-3180,91,3180
643,3181-3269,89,3269
642,3270-3378,109,3378
641,3379-3502,124,3502
640,3503-3621,119,3621
639,3622-3729,108,3729
638,3730-3852,123,3852
637,3853-3964,112,3964
636,3965-4103,139,4103
635,4104-4223,120,4223
634,4224-4353,130,4353
633,4354-4467,114,4467
632,4468-4589,122,4589
631,4590-4705,116,4705
630,4706-4830,125,4830
629,4831-4950,120,4950
628,4951-5087,137,5087
627,5088-5201,114,5201
626,5202-5321,120,5321
625,5322-5455,134,5455
624,5456-5586,131,5586
623,5587-5720,134,5720
622,5721-5866,146,5866
621,5867-6018,152,6018
620,6019-6157,139,6157
619,6158-6313,156,6313
618,6314-6451,138,6451
617,6452-6603,152,6603
616,6604-6733,130,6733
615,6734-6887,154,6887
614,6888-7012,125,7012
613,7013-7177,165,7177
612,7178-7335,158,7335
611,7336-7480,145,7480
610,7481-7628,148,7628
609,7629-7806,178,7806
608,7807-7941,135,7941
607,7942-8094,153,8094
606,8095-8263,169,8263
605,8264-8400,137,8400
604,8401-8571,171,8571
603,8572-8713,142,8713
602,8714-8885,172,8885
601,8886-9065,180,9065
600,9066-9222,157,9222
599,9223-9375,153,9375
598,9376-9530,155,9530
597,9531-9676,146,9676
596,9677-9844,168,9844
595,9845-10027,183,10027
594,10028-10167,140,10167
593,10168-10340,173,10340
592,10341-10510,170,10510
591,10511-10664,154,10664
590,10665-10817,153,10817
589,10818-10971,154,10971
588,10972-11138,167,11138
587,11139-11312,174,11312
586,11313-11484,172,11484
585,11485-11630,146,11630
584,11631-11806,176,11806
583,11807-11978,172,11978
582,11979-12113,135,12113
581,12114-12273,160,12273
580,12274-12475,202,12475
579,12476-12658,183,12658
578,12659-12850,192,12850
577,12851-13008,158,13008
576,13009-13188,180,13188
575,13189-13363,175,13363
574,13364-13522,159,13522
573,13523-13736,214,13736
572,13737-13923,187,13923
571,13924-14096,173,14096
570,14097-14271,175,14271
569,14272-14430,159,14430
568,14431-14617,187,14617
567,14618-14802,185,14802
566,14803-14983,181,14983
565,14984-15160,177,15160
564,15161-15332,172,15332
563,15333-15523,191,15523
562,15524-15703,180,15703
561,15704-15881,178,15881
560,15882-16057,176,16057
559,16058-16240,183,16240
558,16241-16423,183,16423
557,16424-16617,194,16617
556,16618-16791,174,16791
555,16792-16998,207,16998
554,16999-17162,164,17162
553,17163-17350,188,17350
552,17351-17524,174,17524
551,17525-17710,186,17710
550,17711-17902,192,17902
549,17903-18067,165,18067
548,18068-18260,193,18260
547,18261-18429,169,18429
546,18430-18623,194,18623
545,18624-18824,201,18824
544,18825-19028,204,19028
543,19029-19199,171,19199
542,19200-19396,197,19396
541,19397-19558,162,19558
540,19559-19751,193,19751
539,19752-19928,177,19928
538,19929-20101,173,20101
537,20102-20280,179,20280
536,20281-20448,168,20448
535,20449-20647,199,20647
534,20648-20870,223,20870
533,20871-21066,196,21066
532,21067-21287,221,21287
531,21288-21477,190,21477
530,21478-21686,209,21686
529,21687-21876,190,21876
528,21877-22059,183,22059
527,22060-22273,214,22273
526,22274-22474,201,22474
525,22475-22668,194,22668
524,22669-22867,199,22867
523,22868-23056,189,23056
522,23057-23258,202,23258
521,23259-23431,173,23431
520,23432-23610,179,23610
519,23611-23809,199,23809
518,23810-24009,200,24009
517,24010-24229,220,24229
516,24230-24408,179,24408
515,24409-24600,192,24600
514,24601-24810,210,24810
513,24811-25007,197,25007
512,25008-25203,196,25203
511,25204-25389,186,25389
510,25390-25585,196,25585
509,25586-25786,201,25786
508,25787-25969,183,25969
507,25970-26132,163,26132
506,26133-26322,190,26322
505,26323-26497,175,26497
504,26498-26695,198,26695
503,26696-26889,194,26889
502,26890-27056,167,27056
501,27057-27250,194,27250
500,27251-27430,180,27430
499,27431-27615,185,27615
498,27616-27789,174,27789
497,27790-27983,194,27983
496,27984-28170,187,28170
495,28171-28351,181,28351
494,28352-28530,179,28530
493,28531-28700,170,28700
492,28701-28886,186,28886
491,28887-29060,174,29060
490,29061-29233,173,29233
489,29234-29428,195,29428
488,29429-29606,178,29606
487,29607-29775,169,29775
486,29776-29953,178,29953
485,29954-30118,165,30118
484,30119-30274,156,30274
483,30275-30436,162,30436
482,30437-30594,158,30594
481,30595-30773,179,30773
480,30774-30952,179,30952
479,30953-31119,167,31119
478,31120-31259,140,31259
477,31260-31424,165,31424
476,31425-31587,163,31587
475,31588-31738,151,31738
474,31739-31899,161,31899
473,31900-32056,157,32056
472,32057-32264,208,32264
471,32265-32424,160,32424
470,32425-32599,175,32599
469,32600-32764,165,32764
468,32765-32916,152,32916
467,32917-33061,145,33061
466,33062-33209,148,33209
465,33210-33341,132,33341
464,33342-33502,161,33502
463,33503-33634,132,33634
462,33635-33797,163,33797
461,33798-33960,163,33960
460,33961-34110,150,34110
459,34111-34270,160,34270
458,34271-34416,146,34416
457,34417-34573,157,34573
456,34574-34718,145,34718
455,34719-34840,122,34840
454,34841-34994,154,34994
453,34995-35140,146,35140
452,35141-35288,148,35288
451,35289-35438,150,35438
450,35439-35566,128,35566
449,35567-35724,158,35724
448,35725-35864,140,35864
447,35865-35998,134,35998
446,35999-36128,130,36128
445,36129-36249,121,36249
444,36250-36367,118,36367
443,36368-36475,108,36475
442,36476-36609,134,36609
441,36610-36745,136,36745
440,36746-36889,144,36889
439,36890-37011,122,37011
438,37012-37154,143,37154
437,37155-37258,104,37258
436,37259-37397,139,37397
435,37398-37524,127,37524
434,37525-37643,119,37643
433,37644-37780,137,37780
432,37781-37895,115,37895
431,37896-37997,102,37997
430,37998-38120,123,38120
429,38121-38247,127,38247
428,38248-38351,104,38351
427,38352-38467,116,38467
426,38468-38586,119,38586
425,38587-38720,134,38720
424,38721-38834,114,38834
423,38835-38925,91,38925
422,38926-39024,99,39024
421,39025-39126,102,39126
420,39127-39249,123,39249
419,39250-39356,107,39356
418,39357-39441,85,39441
417,39442-39533,92,39533
416,39534-39611,78,39611
415,39612-39723,112,39723
414,39724-39827,104,39827
413,39828-39926,99,39926
412,39927-40032,106,40032
411,40033-40135,103,40135
410,40136-40221,86,40221
409,40222-40315,94,40315
408,40316-40403,88,40403
407,40404-40493,90,40493
406,40494-40579,86,40579
405,40580-40661,82,40661
404,40662-40739,78,40739
403,40740-40833,94,40833
402,40834-40925,92,40925
401,40926-40996,71,40996
400,40997-41093,97,41093
390,41094-41906,813,41906
380,41907-42583,677,42583
370,42584-43189,606,43189
360,43190-43740,551,43740
350,43741-44220,480,44220
340,44221-44592,372,44592
330,44593-44948,356,44948
320,44949-45212,264,45212
310,45213-45463,251,45463
300,45464-45687,224,45687
290,45688-45865,178,45865
280,45866-46030,165,46030
270,46031-46142,112,46142
260,46143-46246,104,46246
250,46247-46317,71,46317
240,46318-46369,52,46369
230,46370-46408,39,46408
220,46409-46437,29,46437
210,46438-46455,18,46455
200,46456-46466,11,46466
190,46467-46480,14,46480
180,46481-46490,10,46490
170,46491-46494,4,46494
160,46495-46498,4,46498
150,46499-46504,6,46504
140,46505-46512,8,46512
130,46513-46522,10,46522
120,46523-46529,7,46529
110,46530-46534,5,46534
100,46535-46538,4,46538
