分数,位次区间,同分人数,建议位次
615,1-49,49,49
614,50-60,11,60
613,61-72,12,72
612,73-88,16,88
611,89-102,14,102
610,103-116,14,116
609,117-125,9,125
608,126-141,16,141
607,142-154,13,154
606,155-181,27,181
605,182-206,25,206
604,207-226,20,226
603,227-258,32,258
602,259-285,27,285
601,286-321,36,321
600,322-358,37,358
599,359-398,40,398
598,399-438,40,438
597,439-473,35,473
596,474-525,52,525
595,526-557,32,557
594,558-606,49,606
593,607-653,47,653
592,654-698,45,698
591,699-754,56,754
590,755-827,73,827
589,828-886,59,886
588,887-942,56,942
587,943-998,56,998
586,999-1082,84,1082
585,1083-1142,60,1142
584,1143-1225,83,1225
583,1226-1295,70,1295
582,1296-1366,71,1366
581,1367-1453,87,1453
580,1454-1529,76,1529
579,1530-1619,90,1619
578,1620-1716,97,1716
577,1717-1812,96,1812
576,1813-1916,104,1916
575,1917-1998,82,1998
574,1999-2102,104,2102
573,2103-2211,109,2211
572,2212-2323,112,2323
571,2324-2428,105,2428
570,2429-2540,112,2540
569,2541-2664,124,2664
568,2665-2795,131,2795
567,2796-2935,140,2935
566,2936-3076,141,3076
565,3077-3226,150,3226
564,3227-3386,160,3386
563,3387-3504,118,3504
562,3505-3653,149,3653
561,3654-3794,141,3794
560,3795-3965,171,3965
559,3966-4094,129,4094
558,4095-4266,172,4266
557,4267-4406,140,4406
556,4407-4556,150,4556
555,4557-4726,170,4726
554,4727-4880,154,4880
553,4881-5028,148,5028
552,5029-5198,170,5198
551,5199-5356,158,5356
550,5357-5535,179,5535
549,5536-5724,189,5724
548,5725-5900,176,5900
547,5901-6081,181,6081
546,6082-6270,189,6270
545,6271-6447,177,6447
544,6448-6617,170,6617
543,6618-6800,183,6800
542,6801-6985,185,6985
541,6986-7145,160,7145
540,7146-7328,183,7328
539,7329-7531,203,7531
538,7532-7723,192,7723
537,7724-7895,172,7895
536,7896-8082,187,8082
535,8083-8283,201,8283
534,8284-8481,198,8481
533,8482-8678,197,8678
532,8679-8874,196,8874
531,8875-9087,213,9087
530,9088-9287,200,9287
529,9288-9496,209,9496
528,9497-9699,203,9699
527,9700-9895,196,9895
526,9896-10117,222,10117
525,10118-10342,225,10342
524,10343-10574,232,10574
523,10575-10776,202,10776
522,10777-10988,212,10988
521,10989-11175,187,11175
520,11176-11391,216,11391
519,11392-11614,223,11614
518,11615-11839,225,11839
517,11840-12039,200,12039
516,12040-12225,186,12225
515,12226-12432,207,12432
514,12433-12648,216,12648
513,12649-12866,218,12866
512,12867-13080,214,13080
511,13081-13304,224,13304
510,13305-13526,222,13526
509,13527-13761,235,13761
508,13762-13979,218,13979
507,13980-14212,233,14212
506,14213-14431,219,14431
505,14432-14628,197,14628
504,14629-14850,222,14850
503,14851-15067,217,15067
502,15068-15285,218,15285
501,15286-15496,211,15496
500,15497-15723,227,15723
499,15724-15939,216,15939
498,15940-16160,221,16160
497,16161-16381,221,16381
496,16382-16607,226,16607
495,16608-16821,214,16821
494,16822-17057,236,17057
493,17058-17269,212,17269
492,17270-17491,222,17491
491,17492-17726,235,17726
490,17727-17952,226,17952
489,17953-18200,248,18200
488,18201-18414,214,18414
487,18415-18620,206,18620
486,18621-18865,245,18865
485,18866-19080,215,19080
484,19081-19303,223,19303
483,19304-19533,230,19533
482,19534-19759,226,19759
481,19760-19970,211,19970
480,19971-20185,215,20185
479,20186-20397,212,20397
478,20398-20596,199,20596
477,20597-20819,223,20819
476,20820-21058,239,21058
475,21059-21291,233,21291
474,21292-21513,222,21513
473,21514-21738,225,21738
472,21739-21949,211,21949
471,21950-22180,231,22180
470,22181-22407,227,22407
469,22408-22597,190,22597
468,22598-22835,238,22835
467,22836-23070,235,23070
466,23071-23275,205,23275
465,23276-23501,226,23501
464,23502-23714,213,23714
463,23715-23948,234,23948
462,23949-24151,203,24151
461,24152-24381,230,24381
460,24382-24592,211,24592
459,24593-24823,231,24823
458,24824-25024,201,25024
457,25025-25247,223,25247
456,25248-25460,213,25460
455,25461-25676,216,25676
454,25677-25900,224,25900
453,25901-26106,206,26106
452,26107-26311,205,26311
451,26312-26536,225,26536
450,26537-26748,212,26748
449,26749-26941,193,26941
448,26942-27131,190,27131
447,27132-27341,210,27341
446,27342-27542,201,27542
445,27543-27738,196,27738
444,27739-27904,166,27904
443,27905-28095,191,28095
442,28096-28283,188,28283
441,28284-28484,201,28484
440,28485-28666,182,28666
439,28667-28864,198,28864
438,28865-29062,198,29062
437,29063-29272,210,29272
436,29273-29454,182,29454
435,29455-29681,227,29681
434,29682-29871,190,29871
433,29872-30070,199,30070
432,30071-30254,184,30254
431,30255-30461,207,30461
430,30462-30665,204,30665
429,30666-30861,196,30861
428,30862-31038,177,31038
427,31039-31207,169,31207
426,31208-31364,157,31364
425,31365-31547,183,31547
424,31548-31735,188,31735
423,31736-31931,196,31931
422,31932-32124,193,32124
421,32125-32280,156,32280
420,32281-32444,164,32444
419,32445-32613,169,32613
418,32614-32773,160,32773
417,32774-32941,168,32941
416,32942-33103,162,33103
415,33104-33300,197,33300
414,33301-33499,199,33499
413,33500-33669,170,33669
412,33670-33810,141,33810
411,33811-33982,172,33982
410,33983-34140,158,34140
409,34141-34311,171,34311
408,34312-34464,153,34464
407,34465-34618,154,34618
406,34619-34765,147,34765
405,34766-34913,148,34913
404,34914-35075,162,35075
403,35076-35224,149,35224
402,35225-35381,157,35381
401,35382-35527,146,35527
400,35528-35686,159,35686
399,35687-35824,138,35824
398,35825-35968,144,35968
397,35969-36109,141,36109
396,36110-36271,162,36271
395,36272-36419,148,36419
394,36420-36549,130,36549
393,36550-36663,114,36663
392,36664-36801,138,36801
391,36802-36927,126,36927
390,36928-37063,136,37063
389,37064-37184,121,37184
388,37185-37310,126,37310
387,37311-37440,130,37440
386,37441-37551,111,37551
385,37552-37685,134,37685
384,37686-37803,118,37803
383,37804-37934,131,37934
382,37935-38081,147,38081
381,38082-38202,121,38202
380,38203-38312,110,38312
379,38313-38421,109,38421
378,38422-38546,125,38546
377,38547-38677,131,38677
376,38678-38823,146,38823
375,38824-38946,123,38946
374,38947-39057,111,39057
373,39058-39174,117,39174
372,39175-39298,124,39298
371,39299-39408,110,39408
370,39409-39528,120,39528
369,39529-39664,136,39664
368,39665-39786,122,39786
367,39787-39889,103,39889
366,39890-39978,89,39978
365,39979-40076,98,40076
364,40077-40166,90,40166
363,40167-40259,93,40259
362,40260-40354,95,40354
361,40355-40453,99,40453
360,40454-40569,116,40569
359,40570-40642,73,40642
358,40643-40729,87,40729
357,40730-40814,85,40814
356,40815-40916,102,40916
355,40917-41016,100,41016
354,41017-41086,70,41086
353,41087-41160,74,41160
352,41161-41239,79,41239
351,41240-41315,76,41315
350,41316-41398,83,41398
349,41399-41469,71,41469
348,41470-41538,69,41538
347,41539-41603,65,41603
346,41604-41675,72,41675
345,41676-41743,68,41743
344,41744-41803,60,41803
343,41804-41858,55,41858
342,41859-41932,74,41932
341,41933-42000,68,42000
340,42001-42062,62,42062
339,42063-42130,68,42130
338,42131-42194,64,42194
337,42195-42256,62,42256
336,42257-42309,53,42309
335,42310-42363,54,42363
334,42364-42419,56,42419
333,42420-42471,52,42471
332,42472-42520,49,42520
331,42521-42580,60,42580
330,42581-42628,48,42628
329,42629-42685,57,42685
328,42686-42741,56,42741
327,42742-42804,63,42804
326,42805-42853,49,42853
325,42854-42902,49,42902
324,42903-42948,46,42948
323,42949-42997,49,42997
322,42998-43046,49,43046
321,43047-43078,32,43078
320,43079-43121,43,43121
319,43122-43163,42,43163
318,43164-43206,43,43206
317,43207-43247,41,43247
316,43248-43280,33,43280
315,43281-43309,29,43309
314,43310-43350,41,43350
313,43351-43383,33,43383
312,43384-43412,29,43412
311,43413-43443,31,43443
310,43444-43471,28,43471
309,43472-43497,26,43497
308,43498-43533,36,43533
307,43534-43558,25,43558
306,43559-43579,21,43579
305,43580-43606,27,43606
304,43607-43630,24,43630
303,43631-43652,22,43652
302,43653-43680,28,43680
301,43681-43696,16,43696
300,43697-43719,23,43719
299,43720-43741,22,43741
298,43742-43771,30,43771
297,43772-43797,26,43797
296,43798-43813,16,43813
295,43814-43831,18,43831
294,43832-43847,16,43847
293,43848-43865,18,43865
292,43866-43886,21,43886
291,43887-43907,21,43907
290,43908-43928,21,43928
289,43929-43951,23,43951
288,43952-43967,16,43967
287,43968-43983,16,43983
286,43984-43996,13,43996
285,43997-44007,11,44007
284,44008-44024,17,44024
283,44025-44043,19,44043
282,44044-44062,19,44062
281,44063-44078,16,44078
280,44079-44086,8,44086
