分数,位次区间,同分人数,建议位次
669,1-101,101,101
668,102-110,9,110
667,111-117,7,117
666,118-124,7,124
665,125-134,10,134
664,135-143,9,143
663,144-159,16,159
662,160-166,7,166
661,167-171,5,171
660,172-183,12,183
659,184-190,7,190
658,191-199,9,199
657,200-212,13,212
656,213-221,9,221
655,222-241,20,241
654,242-256,15,256
653,257-275,19,275
652,276-295,20,295
651,296-312,17,312
650,313-327,15,327
649,328-337,10,337
648,338-355,18,355
647,356-378,23,378
646,379-410,32,410
645,411-430,20,430
644,431-451,21,451
643,452-476,25,476
642,477-497,21,497
641,498-523,26,523
640,524-547,24,547
639,548-581,34,581
638,582-608,27,608
637,609-641,33,641
636,642-672,31,672
635,673-703,31,703
634,704-732,29,732
633,733-762,30,762
632,763-795,33,795
631,796-831,36,831
630,832-864,33,864
629,865-896,32,896
628,897-927,31,927
627,928-967,40,967
626,968-1013,46,1013
625,1014-1052,39,1052
624,1053-1087,35,1087
623,1088-1129,42,1129
622,1130-1168,39,1168
621,1169-1210,42,1210
620,1211-1246,36,1246
619,1247-1279,33,1279
618,1280-1319,40,1319
617,1320-1371,52,1371
616,1372-1413,42,1413
615,1414-1445,32,1445
614,1446-1501,56,1501
613,1502-1541,40,1541
612,1542-1597,56,1597
611,1598-1655,58,1655
610,1656-1703,48,1703
609,1704-1765,62,1765
608,1766-1823,58,1823
607,1824-1862,39,1862
606,1863-1912,50,1912
605,1913-1963,51,1963
604,1964-2028,65,2028
603,2029-2077,49,2077
602,2078-2131,54,2131
601,2132-2190,59,2190
600,2191-2265,75,2265
599,2266-2325,60,2325
598,2326-2369,44,2369
597,2370-2438,69,2438
596,2439-2505,67,2505
595,2506-2580,75,2580
594,2581-2635,55,2635
593,2636-2697,62,2697
592,2698-2759,62,2759
591,2760-2823,64,2823
590,2824-2910,87,2910
589,2911-3003,93,3003
588,3004-3073,70,3073
587,3074-3153,80,3153
586,3154-3236,83,3236
585,3237-3319,83,3319
584,3320-3413,94,3413
583,3414-3496,83,3496
582,3497-3581,85,3581
581,3582-3657,76,3657
580,3658-3764,107,3764
579,3765-3843,79,3843
578,3844-3940,97,3940
577,3941-4026,86,4026
576,4027-4109,83,4109
575,4110-4209,100,4209
574,4210-4299,90,4299
573,4300-4402,103,4402
572,4403-4488,86,4488
571,4489-4596,108,4596
570,4597-4719,123,4719
569,4720-4808,89,4808
568,4809-4925,117,4925
567,4926-5020,95,5020
566,5021-5118,98,5118
565,5119-5226,108,5226
564,5227-5358,132,5358
563,5359-5457,99,5457
562,5458-5580,123,5580
561,5581-5697,117,5697
560,5698-5800,103,5800
559,5801-5908,108,5908
558,5909-6023,115,6023
557,6024-6144,121,6144
556,6145-6263,119,6263
555,6264-6373,110,6373
554,6374-6482,109,6482
553,6483-6601,119,6601
552,6602-6744,143,6744
551,6745-6848,104,6848
550,6849-6984,136,6984
549,6985-7121,137,7121
548,7122-7218,97,7218
547,7219-7336,118,7336
546,7337-7485,149,7485
545,7486-7638,153,7638
544,7639-7764,126,7764
543,7765-7876,112,7876
542,7877-7985,109,7985
541,7986-8119,134,8119
540,8120-8277,158,8277
539,8278-8430,153,8430
538,8431-8544,114,8544
537,8545-8686,142,8686
536,8687-8809,123,8809
535,8810-8985,176,8985
534,8986-9129,144,9129
533,9130-9261,132,9261
532,9262-9398,137,9398
531,9399-9530,132,9530
530,9531-9672,142,9672
529,9673-9821,149,9821
528,9822-9979,158,9979
527,9980-10145,166,10145
526,10146-10274,129,10274
525,10275-10418,144,10418
524,10419-10588,170,10588
523,10589-10723,135,10723
522,10724-10857,134,10857
521,10858-11000,143,11000
520,11001-11163,163,11163
519,11164-11322,159,11322
518,11323-11501,179,11501
517,11502-11661,160,11661
516,11662-11829,168,11829
515,11830-12005,176,12005
514,12006-12157,152,12157
513,12158-12301,144,12301
512,12302-12467,166,12467
511,12468-12652,185,12652
510,12653-12834,182,12834
509,12835-13009,175,13009
508,13010-13211,202,13211
507,13212-13386,175,13386
506,13387-13580,194,13580
505,13581-13768,188,13768
504,13769-13962,194,13962
503,13963-14146,184,14146
502,14147-14324,178,14324
501,14325-14514,190,14514
500,14515-14698,184,14698
499,14699-14886,188,14886
498,14887-15047,161,15047
497,15048-15251,204,15251
496,15252-15437,186,15437
495,15438-15646,209,15646
494,15647-15854,208,15854
493,15855-16058,204,16058
492,16059-16245,187,16245
491,16246-16449,204,16449
490,16450-16641,192,16641
489,16642-16837,196,16837
488,16838-17019,182,17019
487,17020-17199,180,17199
486,17200-17376,177,17376
485,17377-17566,190,17566
484,17567-17770,204,17770
483,17771-17961,191,17961
482,17962-18172,211,18172
481,18173-18370,198,18370
480,18371-18567,197,18567
479,18568-18759,192,18759
478,18760-18993,234,18993
477,18994-19197,204,19197
476,19198-19412,215,19412
475,19413-19620,208,19620
474,19621-19808,188,19808
473,19809-20039,231,20039
472,20040-20246,207,20246
471,20247-20449,203,20449
470,20450-20657,208,20657
469,20658-20898,241,20898
468,20899-21107,209,21107
467,21108-21304,197,21304
466,21305-21531,227,21531
465,21532-21730,199,21730
464,21731-21930,200,21930
463,21931-22140,210,22140
462,22141-22359,219,22359
461,22360-22579,220,22579
460,22580-22834,255,22834
459,22835-23051,217,23051
458,23052-23289,238,23289
457,23290-23539,250,23539
456,23540-23733,194,23733
455,23734-23973,240,23973
454,23974-24216,243,24216
453,24217-24435,219,24435
452,24436-24666,231,24666
451,24667-24910,244,24910
450,24911-25139,229,25139
449,25140-25361,222,25361
448,25362-25573,212,25573
447,25574-25800,227,25800
446,25801-26043,243,26043
445,26044-26303,260,26303
444,26304-26533,230,26533
443,26534-26762,229,26762
442,26763-26983,221,26983
441,26984-27212,229,27212
440,27213-27464,252,27464
439,27465-27701,237,27701
438,27702-27942,241,27942
437,27943-28196,254,28196
436,28197-28449,253,28449
435,28450-28693,244,28693
434,28694-28940,247,28940
433,28941-29178,238,29178
432,29179-29409,231,29409
431,29410-29659,250,29659
430,29660-29898,239,29898
429,29899-30128,230,30128
428,30129-30377,249,30377
427,30378-30628,251,30628
426,30629-30880,252,30880
425,30881-31122,242,31122
424,31123-31349,227,31349
423,31350-31603,254,31603
422,31604-31856,253,31856
421,31857-32103,247,32103
420,32104-32336,233,32336
419,32337-32603,267,32603
418,32604-32860,257,32860
417,32861-33104,244,33104
416,33105-33366,262,33366
415,33367-33621,255,33621
414,33622-33842,221,33842
413,33843-34090,248,34090
412,34091-34351,261,34351
411,34352-34610,259,34610
410,34611-34831,221,34831
409,34832-35100,269,35100
408,35101-35355,255,35355
407,35356-35616,261,35616
406,35617-35854,238,35854
405,35855-36110,256,36110
404,36111-36373,263,36373
403,36374-36627,254,36627
402,36628-36869,242,36869
401,36870-37143,274,37143
400,37144-37369,226,37369
399,37370-37612,243,37612
398,37613-37866,254,37866
397,37867-38106,240,38106
396,38107-38367,261,38367
395,38368-38613,246,38613
394,38614-38862,249,38862
393,38863-39087,225,39087
392,39088-39340,253,39340
391,39341-39569,229,39569
390,39570-39785,216,39785
389,39786-40065,280,40065
388,40066-40305,240,40305
387,40306-40543,238,40543
386,40544-40801,258,40801
385,40802-41054,253,41054
384,41055-41302,248,41302
383,41303-41545,243,41545
382,41546-41791,246,41791
381,41792-42034,243,42034
380,42035-42262,228,42262
379,42263-42494,232,42494
378,42495-42745,251,42745
377,42746-42971,226,42971
376,42972-43230,259,43230
375,43231-43475,245,43475
374,43476-43711,236,43711
373,43712-43956,245,43956
372,43957-44192,236,44192
371,44193-44414,222,44414
370,44415-44638,224,44638
369,44639-44875,237,44875
368,44876-45119,244,45119
367,45120-45336,217,45336
366,45337-45559,223,45559
365,45560-45779,220,45779
364,45780-45998,219,45998
363,45999-46222,224,46222
362,46223-46476,254,46476
361,46477-46711,235,46711
360,46712-46939,228,46939
359,46940-47195,256,47195
358,47196-47432,237,47432
357,47433-47669,237,47669
356,47670-47896,227,47896
355,47897-48126,230,48126
354,48127-48354,228,48354
353,48355-48587,233,48587
352,48588-48819,232,48819
351,48820-49043,224,49043
350,49044-49258,215,49258
349,49259-49477,219,49477
348,49478-49673,196,49673
347,49674-49881,208,49881
346,49882-50089,208,50089
345,50090-50312,223,50312
344,50313-50536,224,50536
343,50537-50767,231,50767
342,50768-50987,220,50987
341,50988-51210,223,51210
340,51211-51402,192,51402
339,51403-51637,235,51637
338,51638-51877,240,51877
337,51878-52076,199,52076
336,52077-52283,207,52283
335,52284-52510,227,52510
334,52511-52727,217,52727
333,52728-52908,181,52908
332,52909-53118,210,53118
331,53119-53315,197,53315
330,53316-53519,204,53519
329,53520-53745,226,53745
328,53746-53935,190,53935
327,53936-54147,212,54147
326,54148-54343,196,54343
325,54344-54541,198,54541
324,54542-54714,173,54714
323,54715-54908,194,54908
322,54909-55090,182,55090
321,55091-55264,174,55264
320,55265-55441,177,55441
319,55442-55618,177,55618
318,55619-55796,178,55796
317,55797-55954,158,55954
316,55955-56150,196,56150
315,56151-56322,172,56322
314,56323-56508,186,56508
313,56509-56695,187,56695
312,56696-56871,176,56871
311,56872-57044,173,57044
310,57045-57216,172,57216
309,57217-57392,176,57392
308,57393-57549,157,57549
307,57550-57716,167,57716
306,57717-57881,165,57881
305,57882-58031,150,58031
304,58032-58213,182,58213
303,58214-58365,152,58365
302,58366-58518,153,58518
301,58519-58669,151,58669
300,58670-58835,166,58835
299,58836-58990,155,58990
298,58991-59143,153,59143
297,59144-59255,112,59255
296,59256-59417,162,59417
295,59418-59577,160,59577
294,59578-59731,154,59731
293,59732-59892,161,59892
292,59893-60021,129,60021
291,60022-60158,137,60158
290,60159-60304,146,60304
289,60305-60451,147,60451
288,60452-60576,125,60576
287,60577-60698,122,60698
286,60699-60825,127,60825
285,60826-60988,163,60988
284,60989-61117,129,61117
283,61118-61278,161,61278
282,61279-61414,136,61414
281,61415-61546,132,61546
280,61547-61675,129,61675
279,61676-61825,150,61825
278,61826-61948,123,61948
277,61949-62079,131,62079
276,62080-62191,112,62191
275,62192-62306,115,62306
274,62307-62423,117,62423
273,62424-62533,110,62533
272,62534-62643,110,62643
271,62644-62751,108,62751
270,62752-62859,108,62859
269,62860-62955,96,62955
268,62956-63056,101,63056
267,63057-63175,119,63175
266,63176-63277,102,63277
265,63278-63361,84,63361
264,63362-63454,93,63454
263,63455-63543,89,63543
262,63544-63621,78,63621
261,63622-63719,98,63719
260,63720-63811,92,63811
259,63812-63889,78,63889
258,63890-63989,100,63989
257,63990-64090,101,64090
256,64091-64172,82,64172
255,64173-64248,76,64248
254,64249-64330,82,64330
253,64331-64428,98,64428
252,64429-64523,95,64523
251,64524-64604,81,64604
250,64605-64675,71,64675
249,64676-64752,77,64752
248,64753-64831,79,64831
247,64832-64900,69,64900
246,64901-64958,58,64958
245,64959-65022,64,65022
244,65023-65090,68,65090
243,65091-65160,70,65160
242,65161-65225,65,65225
241,65226-65281,56,65281
240,65282-65342,61,65342
239,65343-65401,59,65401
238,65402-65453,52,65453
237,65454-65519,66,65519
236,65520-65584,65,65584
235,65585-65644,60,65644
234,65645-65707,63,65707
233,65708-65766,59,65766
232,65767-65826,60,65826
231,65827-65865,39,65865
230,65866-65916,51,65916
229,65917-65972,56,65972
228,65973-66028,56,66028
227,66029-66083,55,66083
226,66084-66132,49,66132
225,66133-66185,53,66185
224,66186-66242,57,66242
223,66243-66286,44,66286
222,66287-66344,58,66344
221,66345-66392,48,66392
220,66393-66429,37,66429
219,66430-66468,39,66468
218,66469-66516,48,66516
217,66517-66556,40,66556
216,66557-66594,38,66594
215,66595-66633,39,66633
214,66634-66674,41,66674
213,66675-66703,29,66703
212,66704-66749,46,66749
211,66750-66786,37,66786
210,66787-66813,27,66813
209,66814-66845,32,66845
208,66846-66877,32,66877
207,66878-66910,33,66910
206,66911-66934,24,66934
205,66935-66970,36,66970
204,66971-66993,23,66993
203,66994-67015,22,67015
202,67016-67033,18,67033
201,67034-67060,27,67060
200,67061-67083,23,67083
199,67084-67104,21,67104
198,67105-67135,31,67135
197,67136-67151,16,67151
196,67152-67175,24,67175
195,67176-67194,19,67194
194,67195-67213,19,67213
193,67214-67240,27,67240
192,67241-67271,31,67271
191,67272-67288,17,67288
190,67289-67305,17,67305
189,67306-67331,26,67331
188,67332-67347,16,67347
187,67348-67359,12,67359
186,67360-67375,16,67375
185,67376-67391,16,67391
184,67392-67405,14,67405
183,67406-67415,10,67415
182,67416-67428,13,67428
181,67429-67449,21,67449
180,67450-67460,11,67460
179,67461-67475,15,67475
178,67476-67494,19,67494
177,67495-67506,12,67506
176,67507-67516,10,67516
175,67517-67531,15,67531
174,67532-67542,11,67542
173,67543-67547,5,67547
172,67548-67561,14,67561
171,67562-67570,9,67570
170,67571-67579,9,67579
169,67580-67595,16,67595
168,67596-67605,10,67605
167,67606-67613,8,67613
166,67614-67620,7,67620
165,67621-67626,6,67626
164,67627-67636,10,67636
163,67637-67647,11,67647
162,67648-67653,6,67653
161,67654-67654,1,67654
160,67655-67657,3,67657
159,67658-67665,8,67665
158,67666-67672,7,67672
157,67673-67681,9,67681
156,67682-67688,7,67688
155,67689-67693,5,67693
154,67694-67701,8,67701
153,67702-67704,3,67704
152,67705-67709,5,67709
151,67710-67722,13,67722
150,67723-67726,4,67726
149,67727-67735,9,67735
148,67736-67737,2,67737
147,67738-67738,1,67738
146,67739-67748,10,67748
145,67749-67752,4,67752
144,67753-67755,3,67755
143,67756-67759,4,67759
142,67760-67763,4,67763
141,67764-67767,4,67767
140,67768-67768,1,67768
139,67769-67772,4,67772
138,67773-67775,3,67775
137,67776-67777,2,67777
136,67778-67779,2,67779
135,67780-67783,4,67783
134,67784-67786,3,67786
133,67787-67788,2,67788
132,67789-67790,2,67790
131,67791-67800,10,67800
130,67801-67803,3,67803
129,67804-67805,2,67805
128,67806-67806,1,67806
127,67807-67808,2,67808
126,67809-67810,2,67810
125,67811-67811,1,67811
124,67812-67812,1,67812
123,67813-67816,4,67816
122,67817-67819,3,67819
121,67819-67819,0,67819
120,67820-67821,2,67821
119,67822-67823,2,67823
118,67824-67824,1,67824
117,67824-67824,0,67824
116,67824-67824,0,67824
115,67825-67826,2,67826
114,67827-67828,2,67828
113,67829-67829,1,67829
112,67830-67830,1,67830
111,67831-67831,1,67831
110,67832-67832,1,67832
109,67832-67832,0,67832
108,67832-67832,0,67832
107,67833-67833,1,67833
106,67834-67834,1,67834
105,67834-67834,0,67834
104,67835-67836,2,67836
103,67837-67837,1,67837
102,67838-67838,1,67838
101,67838-67838,0,67838
100,67838-67838,0,67838
99,67839-67839,1,67839
98,67840-67841,2,67841
97,67841-67841,0,67841
96,67842-67842,1,67842
95,67843-67843,1,67843
94,67844-67845,2,67845
93,67846-67846,1,67846
92,67846-67846,0,67846
91,67847-67847,1,67847
90,67848-67848,1,67848
89,67848-67848,0,67848
88,67848-67848,0,67848
87,67849-67849,1,67849
86,67850-67852,3,67852
85,67853-67853,1,67853
84,67854-67854,1,67854
83,67855-67856,2,67856
82,67857-67857,1,67857
81,67857-67857,0,67857
80,67858-67858,1,67858
79,67858-67858,0,67858
78,67859-67859,1,67859
77,67860-67862,3,67862
76,67862-67862,0,67862
75,67862-67862,0,67862
74,67863-67864,2,67864
73,67864-67864,0,67864
72,67865-67865,1,67865
71,67866-67866,1,67866
70,67867-67867,1,67867
69,67868-67868,1,67868
68,67868-67868,0,67868
67,67868-67868,0,67868
66,67869-67869,1,67869
65,67870-67870,1,67870
64,67871-67871,1,67871
63,67872-67872,1,67872
62,67873-67873,1,67873
61,67873-67873,0,67873
60,67873-67873,0,67873
59,67873-67873,0,67873
58,67873-67873,0,67873
57,67873-67873,0,67873
56,67873-67873,0,67873
55,67874-67875,2,67875
54,67875-67875,0,67875
53,67875-67875,0,67875
52,67875-67875,0,67875
51,67875-67875,0,67875
50,67875-67875,0,67875
49,67875-67875,0,67875
48,67875-67875,0,67875
47,67876-67876,1,67876
46,67876-67876,0,67876
45,67876-67876,0,67876
44,67876-67876,0,67876
43,67876-67876,0,67876
42,67876-67876,0,67876
41,67876-67876,0,67876
40,67876-67876,0,67876
39,67876-67876,0,67876
38,67877-67877,1,67877
37,67877-67877,0,67877
36,67877-67877,0,67877
35,67878-67878,1,67878
34,67878-67878,0,67878
33,67878-67878,0,67878
32,67879-67880,2,67880
31,67880-67880,0,67880
30,67880-67880,0,67880
29,67881-67881,1,67881
28,67881-67881,0,67881
27,67881-67881,0,67881
26,67881-67881,0,67881
25,67881-67881,0,67881
24,67881-67881,0,67881
23,67881-67881,0,67881
22,67881-67881,0,67881
21,67881-67881,0,67881
20,67881-67881,0,67881
19,67881-67881,0,67881
18,67881-67881,0,67881
17,67881-67881,0,67881
16,67881-67881,0,67881
15,67881-67881,0,67881
14,67881-67881,0,67881
13,67881-67881,0,67881
12,67881-67881,0,67881
11,67881-67881,0,67881
10,67881-67881,0,67881
9,67881-67881,0,67881
8,67881-67881,0,67881
7,67882-67882,1,67882
6,67882-67882,0,67882
5,67882-67882,0,67882
4,67882-67882,0,67882
3,67883-67883,1,67883
2,67884-67884,1,67884
1,67884-67884,0,67884
0,67885-68294,410,68294
