分数,位次区间,同分人数,建议位次
696,1-9,9,9
695,10-10,1,10
694,10-10,0,10
693,11-13,3,13
692,14-15,2,15
691,16-16,1,16
690,16-16,0,16
689,17-18,2,18
688,19-21,3,21
687,22-23,2,23
686,24-25,2,25
685,25-25,0,25
684,26-31,6,31
683,32-36,5,36
682,37-39,3,39
681,40-43,4,43
680,43-43,0,43
679,44-44,1,44
678,45-53,9,53
677,54-55,2,55
676,56-60,5,60
675,61-64,4,64
674,65-73,9,73
673,74-80,7,80
672,81-89,9,89
671,90-98,9,98
670,99-107,9,107
669,108-118,11,118
668,119-127,9,127
667,128-134,7,134
666,135-150,16,150
665,151-158,8,158
664,159-173,15,173
663,174-189,16,189
662,190-210,21,210
661,211-221,11,221
660,222-239,18,239
659,240-261,22,261
658,262-279,18,279
657,280-298,19,298
656,299-326,28,326
655,327-347,21,347
654,348-369,22,369
653,370-395,26,395
652,396-427,32,427
651,428-456,29,456
650,457-492,36,492
649,493-529,37,529
648,530-563,34,563
647,564-603,40,603
646,604-640,37,640
645,641-677,37,677
644,678-719,42,719
643,720-750,31,750
642,751-805,55,805
641,806-850,45,850
640,851-903,53,903
639,904-948,45,948
638,949-994,46,994
637,995-1042,48,1042
636,1043-1100,58,1100
635,1101-1152,52,1152
634,1153-1205,53,1205
633,1206-1261,56,1261
632,1262-1303,42,1303
631,1304-1374,71,1374
630,1375-1446,72,1446
629,1447-1517,71,1517
628,1518-1582,65,1582
627,1583-1656,74,1656
626,1657-1719,63,1719
625,1720-1788,69,1788
624,1789-1874,86,1874
623,1875-1942,68,1942
622,1943-2028,86,2028
621,2029-2106,78,2106
620,2107-2203,97,2203
619,2204-2280,77,2280
618,2281-2366,86,2366
617,2367-2451,85,2451
616,2452-2540,89,2540
615,2541-2631,91,2631
614,2632-2741,110,2741
613,2742-2849,108,2849
612,2850-2963,114,2963
611,2964-3083,120,3083
610,3084-3217,134,3217
609,3218-3330,113,3330
608,3331-3459,129,3459
607,3460-3574,115,3574
606,3575-3692,118,3692
605,3693-3818,126,3818
604,3819-3952,134,3952
603,3953-4097,145,4097
602,4098-4252,155,4252
601,4253-4387,135,4387
600,4388-4522,135,4522
599,4523-4666,144,4666
598,4667-4806,140,4806
597,4807-4961,155,4961
596,4962-5081,120,5081
595,5082-5239,158,5239
594,5240-5391,152,5391
593,5392-5559,168,5559
592,5560-5704,145,5704
591,5705-5895,191,5895
590,5896-6083,188,6083
589,6084-6279,196,6279
588,6280-6444,165,6444
587,6445-6650,206,6650
586,6651-6836,186,6836
585,6837-7015,179,7015
584,7016-7212,197,7212
583,7213-7422,210,7422
582,7423-7637,215,7637
581,7638-7857,220,7857
580,7858-8069,212,8069
579,8070-8299,230,8299
578,8300-8514,215,8514
577,8515-8744,230,8744
576,8745-8962,218,8962
575,8963-9156,194,9156
574,9157-9384,228,9384
573,9385-9633,249,9633
572,9634-9872,239,9872
571,9873-10092,220,10092
570,10093-10345,253,10345
569,10346-10582,237,10582
568,10583-10858,276,10858
567,10859-11151,293,11151
566,11152-11433,282,11433
565,11434-11695,262,11695
564,11696-11973,278,11973
563,11974-12264,291,12264
562,12265-12532,268,12532
561,12533-12804,272,12804
560,12805-13104,300,13104
559,13105-13373,269,13373
558,13374-13681,308,13681
557,13682-14013,332,14013
556,14014-14278,265,14278
555,14279-14561,283,14561
554,14562-14878,317,14878
553,14879-15176,298,15176
552,15177-15513,337,15513
551,15514-15839,326,15839
550,15840-16181,342,16181
549,16182-16509,328,16509
548,16510-16829,320,16829
547,16830-17162,333,17162
546,17163-17507,345,17507
545,17508-17863,356,17863
544,17864-18200,337,18200
543,18201-18546,346,18546
542,18547-18911,365,18911
541,18912-19299,388,19299
540,19300-19674,375,19674
539,19675-20056,382,20056
538,20057-20465,409,20465
537,20466-20830,365,20830
536,20831-21202,372,21202
535,21203-21549,347,21549
534,21550-21915,366,21915
533,21916-22331,416,22331
532,22332-22760,429,22760
531,22761-23128,368,23128
530,23129-23522,394,23522
529,23523-23948,426,23948
528,23949-24312,364,24312
527,24313-24713,401,24713
526,24714-25129,416,25129
525,25130-25552,423,25552
524,25553-25941,389,25941
523,25942-26369,428,26369
522,26370-26798,429,26798
521,26799-27240,442,27240
520,27241-27675,435,27675
519,27676-28123,448,28123
518,28124-28529,406,28529
517,28530-28992,463,28992
516,28993-29443,451,29443
515,29444-29897,454,29897
514,29898-30360,463,30360
513,30361-30807,447,30807
512,30808-31255,448,31255
511,31256-31722,467,31722
510,31723-32208,486,32208
509,32209-32732,524,32732
508,32733-33222,490,33222
507,33223-33715,493,33715
506,33716-34225,510,34225
505,34226-34766,541,34766
504,34767-35288,522,35288
503,35289-35784,496,35784
502,35785-36278,494,36278
501,36279-36776,498,36776
500,36777-37316,540,37316
499,37317-37876,560,37876
498,37877-38389,513,38389
497,38390-38910,521,38910
496,38911-39425,515,39425
495,39426-39953,528,39953
494,39954-40520,567,40520
493,40521-41070,550,41070
492,41071-41639,569,41639
491,41640-42180,541,42180
490,42181-42748,568,42748
489,42749-43247,499,43247
488,43248-43841,594,43841
487,43842-44395,554,44395
486,44396-44946,551,44946
485,44947-45458,512,45458
484,45459-46040,582,46040
483,46041-46602,562,46602
482,46603-47147,545,47147
481,47148-47767,620,47767
480,47768-48356,589,48356
479,48357-48968,612,48968
478,48969-49555,587,49555
477,49556-50206,651,50206
476,50207-50800,594,50800
475,50801-51429,629,51429
474,51430-52052,623,52052
473,52053-52637,585,52637
472,52638-53290,653,53290
471,53291-53966,676,53966
470,53967-54596,630,54596
469,54597-55211,615,55211
468,55212-55860,649,55860
467,55861-56491,631,56491
466,56492-57163,672,57163
465,57164-57817,654,57817
464,57818-58479,662,58479
463,58480-59121,642,59121
462,59122-59749,628,59749
461,59750-60370,621,60370
460,60371-60972,602,60972
459,60973-61658,686,61658
458,61659-62275,617,62275
457,62276-62937,662,62937
456,62938-63576,639,63576
455,63577-64258,682,64258
454,64259-64923,665,64923
453,64924-65589,666,65589
452,65590-66244,655,66244
451,66245-66913,669,66913
450,66914-67550,637,67550
449,67551-68153,603,68153
448,68154-68798,645,68798
447,68799-69450,652,69450
446,69451-70079,629,70079
445,70080-70723,644,70723
444,70724-71410,687,71410
443,71411-72057,647,72057
442,72058-72727,670,72727
441,72728-73320,593,73320
440,73321-73992,672,73992
439,73993-74647,655,74647
438,74648-75294,647,75294
437,75295-75962,668,75962
436,75963-76614,652,76614
435,76615-77309,695,77309
434,77310-78018,709,78018
433,78019-78686,668,78686
432,78687-79349,663,79349
431,79350-80028,679,80028
430,80029-80683,655,80683
429,80684-81340,657,81340
428,81341-81966,626,81966
427,81967-82625,659,82625
426,82626-83228,603,83228
425,83229-83864,636,83864
424,83865-84456,592,84456
423,84457-85037,581,85037
422,85038-85695,658,85695
421,85696-86330,635,86330
420,86331-86976,646,86976
419,86977-87588,612,87588
418,87589-88210,622,88210
417,88211-88872,662,88872
416,88873-89480,608,89480
415,89481-90059,579,90059
414,90060-90628,569,90628
413,90629-91224,596,91224
412,91225-91780,556,91780
411,91781-92386,606,92386
410,92387-93000,614,93000
409,93001-93583,583,93583
408,93584-94183,600,94183
407,94184-94809,626,94809
406,94810-95349,540,95349
405,95350-95933,584,95933
404,95934-96522,589,96522
403,96523-97089,567,97089
402,97090-97691,602,97691
401,97692-98239,548,98239
400,98240-98830,591,98830
399,98831-99363,533,99363
398,99364-99947,584,99947
397,99948-100476,529,100476
396,100477-101040,564,101040
395,101041-101610,570,101610
394,101611-102176,566,102176
393,102177-102714,538,102714
392,102715-103261,547,103261
391,103262-103785,524,103785
390,103786-104329,544,104329
389,104330-104815,486,104815
388,104816-105342,527,105342
387,105343-105837,495,105837
386,105838-106396,559,106396
385,106397-106928,532,106928
384,106929-107387,459,107387
383,107388-107880,493,107880
382,107881-108379,499,108379
381,108380-108857,478,108857
380,108858-109349,492,109349
379,109350-109842,493,109842
378,109843-110330,488,110330
377,110331-110828,498,110828
376,110829-111321,493,111321
375,111322-111795,474,111795
374,111796-112243,448,112243
373,112244-112732,489,112732
372,112733-113221,489,113221
371,113222-113677,456,113677
370,113678-114131,454,114131
369,114132-114611,480,114611
368,114612-115074,463,115074
367,115075-115551,477,115551
366,115552-115972,421,115972
365,115973-116414,442,116414
364,116415-116812,398,116812
363,116813-117282,470,117282
362,117283-117744,462,117744
361,117745-118164,420,118164
360,118165-118619,455,118619
359,118620-119028,409,119028
358,119029-119416,388,119416
357,119417-119853,437,119853
356,119854-120256,403,120256
355,120257-120660,404,120660
354,120661-121083,423,121083
353,121084-121473,390,121473
352,121474-121875,402,121875
351,121876-122296,421,122296
350,122297-122702,406,122702
349,122703-123115,413,123115
348,123116-123481,366,123481
347,123482-123846,365,123846
346,123847-124249,403,124249
345,124250-124649,400,124649
344,124650-125046,397,125046
343,125047-125447,401,125447
342,125448-125857,410,125857
341,125858-126252,395,126252
340,126253-126672,420,126672
339,126673-127017,345,127017
338,127018-127396,379,127396
337,127397-127794,398,127794
336,127795-128206,412,128206
335,128207-128566,360,128566
334,128567-128887,321,128887
333,128888-129214,327,129214
332,129215-129593,379,129593
331,129594-129960,367,129960
330,129961-130324,364,130324
329,130325-130679,355,130679
328,130680-131041,362,131041
327,131042-131409,368,131409
326,131410-131770,361,131770
325,131771-132146,376,132146
324,132147-132480,334,132480
323,132481-132832,352,132832
322,132833-133188,356,133188
321,133189-133518,330,133518
320,133519-133849,331,133849
319,133850-134166,317,134166
318,134167-134497,331,134497
317,134498-134854,357,134854
316,134855-135178,324,135178
315,135179-135502,324,135502
314,135503-135824,322,135824
313,135825-136163,339,136163
312,136164-136514,351,136514
311,136515-136854,340,136854
310,136855-137176,322,137176
309,137177-137508,332,137508
308,137509-137828,320,137828
307,137829-138166,338,138166
306,138167-138514,348,138514
305,138515-138866,352,138866
304,138867-139140,274,139140
303,139141-139426,286,139426
302,139427-139753,327,139753
301,139754-140056,303,140056
300,140057-140395,339,140395
299,140396-140704,309,140704
298,140705-140970,266,140970
297,140971-141221,251,141221
296,141222-141496,275,141496
295,141497-141786,290,141786
294,141787-142056,270,142056
293,142057-142345,289,142345
292,142346-142637,292,142637
291,142638-142874,237,142874
290,142875-143171,297,143171
289,143172-143450,279,143450
288,143451-143729,279,143729
287,143730-144026,297,144026
286,144027-144342,316,144342
285,144343-144633,291,144633
284,144634-144901,268,144901
283,144902-145163,262,145163
282,145164-145472,309,145472
281,145473-145764,292,145764
280,145765-146056,292,146056
279,146057-146341,285,146341
278,146342-146629,288,146629
277,146630-146907,278,146907
276,146908-147187,280,147187
275,147188-147459,272,147459
274,147460-147722,263,147722
273,147723-148022,300,148022
272,148023-148298,276,148298
271,148299-148587,289,148587
270,148588-148834,247,148834
269,148835-149122,288,149122
268,149123-149375,253,149375
267,149376-149642,267,149642
266,149643-149900,258,149900
265,149901-150124,224,150124
264,150125-150394,270,150394
263,150395-150636,242,150636
262,150637-150891,255,150891
261,150892-151131,240,151131
260,151132-151397,266,151397
259,151398-151621,224,151621
258,151622-151867,246,151867
257,151868-152085,218,152085
256,152086-152331,246,152331
255,152332-152557,226,152557
254,152558-152806,249,152806
253,152807-153025,219,153025
252,153026-153261,236,153261
251,153262-153491,230,153491
250,153492-153727,236,153727
249,153728-153965,238,153965
248,153966-154187,222,154187
247,154188-154414,227,154414
246,154415-154631,217,154631
245,154632-154825,194,154825
244,154826-155056,231,155056
243,155057-155260,204,155260
242,155261-155462,202,155462
241,155463-155689,227,155689
240,155690-155908,219,155908
239,155909-156118,210,156118
238,156119-156313,195,156313
237,156314-156523,210,156523
236,156524-156724,201,156724
235,156725-156920,196,156920
234,156921-157087,167,157087
233,157088-157258,171,157258
232,157259-157434,176,157434
231,157435-157608,174,157608
230,157609-157803,195,157803
229,157804-157991,188,157991
228,157992-158171,180,158171
227,158172-158341,170,158341
226,158342-158505,164,158505
225,158506-158670,165,158670
224,158671-158835,165,158835
223,158836-159015,180,159015
222,159016-159164,149,159164
221,159165-159320,156,159320
220,159321-159484,164,159484
219,159485-159626,142,159626
218,159627-159775,149,159775
217,159776-159920,145,159920
216,159921-160053,133,160053
215,160054-160194,141,160194
214,160195-160345,151,160345
213,160346-160462,117,160462
212,160463-160610,148,160610
211,160611-160727,117,160727
210,160728-160878,151,160878
209,160879-161006,128,161006
208,161007-161146,140,161146
207,161147-161283,137,161283
206,161284-161423,140,161423
205,161424-161565,142,161565
204,161566-161668,103,161668
203,161669-161791,123,161791
202,161792-161909,118,161909
201,161910-162041,132,162041
200,162042-162133,92,162133
199,162134-162238,105,162238
198,162239-162355,117,162355
197,162356-162454,99,162454
196,162455-162550,96,162550
195,162551-162667,117,162667
194,162668-162771,104,162771
193,162772-162875,104,162875
192,162876-162962,87,162962
191,162963-163065,103,163065
190,163066-163164,99,163164
189,163165-163268,104,163268
188,163269-163352,84,163352
187,163353-163455,103,163455
186,163456-163544,89,163544
185,163545-163619,75,163619
184,163620-163707,88,163707
183,163708-163793,86,163793
182,163794-163873,80,163873
181,163874-163957,84,163957
180,163958-164021,64,164021
179,164022-164093,72,164093
178,164094-164176,83,164176
177,164177-164244,68,164244
176,164245-164306,62,164306
175,164307-164369,63,164369
174,164370-164436,67,164436
173,164437-164513,77,164513
172,164514-164567,54,164567
171,164568-164635,68,164635
170,164636-164692,57,164692
169,164693-164743,51,164743
168,164744-164789,46,164789
167,164790-164836,47,164836
166,164837-164886,50,164886
165,164887-164937,51,164937
164,164938-164972,35,164972
163,164973-165015,43,165015
162,165016-165065,50,165065
161,165066-165116,51,165116
160,165117-165151,35,165151
159,165152-165188,37,165188
158,165189-165219,31,165219
157,165220-165261,42,165261
156,165262-165296,35,165296
155,165297-165335,39,165335
154,165336-165373,38,165373
153,165374-165410,37,165410
152,165411-165438,28,165438
151,165439-165471,33,165471
150,165472-165504,33,165504
149,165505-165523,19,165523
148,165524-165544,21,165544
147,165545-165584,40,165584
146,165585-165605,21,165605
145,165606-165628,23,165628
144,165629-165643,15,165643
143,165644-165671,28,165671
142,165672-165686,15,165686
141,165687-165711,25,165711
140,165712-165728,17,165728
139,165729-165743,15,165743
138,165744-165767,24,165767
137,165768-165783,16,165783
136,165784-165806,23,165806
135,165807-165816,10,165816
134,165817-165825,9,165825
133,165826-165842,17,165842
132,165843-165848,6,165848
131,165849-165865,17,165865
130,165866-165878,13,165878
129,165879-165894,16,165894
128,165895-165912,18,165912
127,165913-165925,13,165925
126,165926-165931,6,165931
125,165932-165945,14,165945
124,165946-165955,10,165955
123,165956-165966,11,165966
122,165967-165975,9,165975
121,165976-165985,10,165985
120,165986-165991,6,165991
119,165992-165995,4,165995
118,165996-166003,8,166003
117,166004-166014,11,166014
116,166015-166019,5,166019
115,166020-166025,6,166025
114,166026-166038,13,166038
113,166039-166042,4,166042
112,166043-166051,9,166051
111,166052-166055,4,166055
110,166056-166060,5,166060
109,166061-166063,3,166063
108,166064-166070,7,166070
107,166071-166076,6,166076
106,166077-166081,5,166081
105,166082-166085,4,166085
104,166086-166090,5,166090
103,166091-166098,8,166098
102,166099-166102,4,166102
101,166103-166108,6,166108
100,166109-166114,6,166114
