分数,位次区间,同分人数,建议位次
691,1-31,7,31
690,32-37,6,37
689,38-44,7,44
688,45-48,4,48
687,49-54,6,54
686,55-60,6,60
685,61-64,4,64
684,65-68,4,68
683,69-83,15,83
682,84-95,12,95
681,96-115,20,115
680,116-124,9,124
679,125-137,13,137
678,138-153,16,153
677,154-163,10,163
676,164-186,23,186
675,187-205,19,205
674,206-228,23,228
673,229-256,28,256
672,257-286,30,286
671,287-307,21,307
670,308-336,29,336
669,337-355,19,355
668,356-399,44,399
667,400-431,32,431
666,432-468,37,468
665,469-512,44,512
664,513-553,41,553
663,554-616,63,616
662,617-662,46,662
661,663-720,58,720
660,721-781,61,781
659,782-848,67,848
658,849-909,61,909
657,910-980,71,980
656,981-1046,66,1046
655,1047-1114,68,1114
654,1115-1179,65,1179
653,1180-1257,78,1257
652,1258-1351,94,1351
651,1352-1444,93,1444
650,1445-1536,92,1536
649,1537-1627,91,1627
648,1628-1730,103,1730
647,1731-1841,111,1841
646,1842-1952,111,1952
645,1953-2065,113,2065
644,2066-2176,111,2176
643,2177-2296,120,2296
642,2297-2440,144,2440
641,2441-2584,144,2584
640,2585-2729,145,2729
639,2730-2876,147,2876
638,2877-3025,149,3025
637,3026-3196,171,3196
636,3197-3358,162,3358
635,3359-3527,169,3527
634,3528-3706,179,3706
633,3707-3898,192,3898
632,3899-4082,184,4082
631,4083-4285,203,4285
630,4286-4465,180,4465
629,4466-4660,195,4660
628,4661-4860,200,4860
627,4861-5092,232,5092
626,5093-5302,210,5302
625,5303-5524,222,5524
624,5525-5761,237,5761
623,5762-6003,242,6003
622,6004-6287,284,6287
621,6288-6561,274,6561
620,6562-6814,253,6814
619,6815-7098,284,7098
618,7099-7376,278,7376
617,7377-7638,262,7638
616,7639-7907,269,7907
615,7908-8162,255,8162
614,8163-8462,300,8462
613,8463-8757,295,8757
612,8758-9070,313,9070
611,9071-9385,315,9385
610,9386-9711,326,9711
609,9712-10048,337,10048
608,10049-10398,350,10398
607,10399-10760,362,10760
606,10761-11130,370,11130
605,11131-11477,347,11477
604,11478-11858,381,11858
603,11859-12248,390,12248
602,12249-12631,383,12631
601,12632-13049,418,13049
600,13050-13430,381,13430
599,13431-13858,428,13858
598,13859-14272,414,14272
597,14273-14703,431,14703
596,14704-15132,429,15132
595,15133-15596,464,15596
594,15597-16046,450,16046
593,16047-16515,469,16515
592,16516-16998,483,16998
591,16999-17508,510,17508
590,17509-17968,460,17968
589,17969-18507,539,18507
588,18508-19006,499,19006
587,19007-19505,499,19505
586,19506-20047,542,20047
585,20048-20594,547,20594
584,20595-21139,545,21139
583,21140-21718,579,21718
582,21719-22261,543,22261
581,22262-22793,532,22793
580,22794-23358,565,23358
579,23359-23927,569,23927
578,23928-24508,581,24508
577,24509-25118,610,25118
576,25119-25729,611,25729
575,25730-26354,625,26354
574,26355-26972,618,26972
573,26973-27552,580,27552
572,27553-28175,623,28175
571,28176-28818,643,28818
570,28819-29403,585,29403
569,29404-30021,618,30021
568,30022-30714,693,30714
567,30715-31356,642,31356
566,31357-32017,661,32017
565,32018-32704,687,32704
564,32705-33361,657,33361
563,33362-34024,663,34024
562,34025-34751,727,34751
561,34752-35449,698,35449
560,35450-36168,719,36168
559,36169-36873,705,36873
558,36874-37566,693,37566
557,37567-38272,706,38272
556,38273-39008,736,39008
555,39009-39718,710,39718
554,39719-40472,754,40472
553,40473-41254,782,41254
552,41255-42004,750,42004
551,42005-42759,755,42759
550,42760-43499,740,43499
549,43500-44261,762,44261
548,44262-44990,729,44990
547,44991-45772,782,45772
546,45773-46557,785,46557
545,46558-47376,819,47376
544,47377-48201,825,48201
543,48202-49037,836,49037
542,49038-49854,817,49854
541,49855-50682,828,50682
540,50683-51523,841,51523
539,51524-52338,815,52338
538,52339-53169,831,53169
537,53170-53967,798,53967
536,53968-54791,824,54791
535,54792-55619,828,55619
534,55620-56478,859,56478
533,56479-57317,839,57317
532,57318-58171,854,58171
531,58172-58995,824,58995
530,58996-59831,836,59831
529,59832-60756,925,60756
528,60757-61650,894,61650
527,61651-62507,857,62507
526,62508-63346,839,63346
525,63347-64228,882,64228
524,64229-65102,874,65102
523,65103-65971,869,65971
522,65972-66880,909,66880
521,66881-67756,876,67756
520,67757-68600,844,68600
519,68601-69481,881,69481
518,69482-70350,869,70350
517,70351-71252,902,71252
516,71253-72111,859,72111
515,72112-73018,907,73018
514,73019-73932,914,73932
513,73933-74844,912,74844
512,74845-75821,977,75821
511,75822-76779,958,76779
510,76780-77713,934,77713
509,77714-78673,960,78673
508,78674-79620,947,79620
507,79621-80550,930,80550
506,80551-81500,950,81500
505,81501-82447,947,82447
504,82448-83397,950,83397
503,83398-84351,954,84351
502,84352-85294,943,85294
501,85295-86253,959,86253
500,86254-87151,898,87151
499,87152-88132,981,88132
498,88133-89072,940,89072
497,89073-90044,972,90044
496,90045-90982,938,90982
495,90983-91989,1007,91989
494,91990-92936,947,92936
493,92937-93969,1033,93969
492,93970-94896,927,94896
491,94897-95797,901,95797
490,95798-96770,973,96770
489,96771-97728,958,97728
488,97729-98638,910,98638
487,98639-99599,961,99599
486,99600-100581,982,100581
485,100582-101531,950,101531
484,101532-102507,976,102507
483,102508-103506,999,103506
482,103507-104483,977,104483
481,104484-105433,950,105433
480,105434-106344,911,106344
479,106345-107280,936,107280
478,107281-108213,933,108213
477,108214-109131,918,109131
476,109132-110122,991,110122
475,110123-111128,1006,111128
474,111129-112067,939,112067
473,112068-113007,940,113007
472,113008-113947,940,113947
471,113948-114847,900,114847
470,114848-115794,947,115794
469,115795-116739,945,116739
468,116740-117642,903,117642
467,117643-118588,946,118588
466,118589-119485,897,119485
465,119486-120370,885,120370
464,120371-121286,916,121286
463,121287-122201,915,122201
462,122202-123141,940,123141
461,123142-124059,918,124059
460,124060-124911,852,124911
459,124912-125770,859,125770
458,125771-126654,884,126654
457,126655-127518,864,127518
456,127519-128454,936,128454
455,128455-129310,856,129310
454,129311-130189,879,130189
453,130190-131095,906,131095
452,131096-131939,844,131939
451,131940-132831,892,132831
450,132832-133684,853,133684
449,133685-134515,831,134515
448,134516-135403,888,135403
447,135404-136314,911,136314
446,136315-137128,814,137128
445,137129-137992,864,137992
444,137993-138829,837,138829
443,138830-139702,873,139702
442,139703-140581,879,140581
441,140582-141442,861,141442
440,141443-142251,809,142251
439,142252-143057,806,143057
438,143058-143930,873,143930
437,143931-144729,799,144729
436,144730-145515,786,145515
435,145516-146339,824,146339
434,146340-147162,823,147162
433,147163-147987,825,147987
432,147988-148796,809,148796
431,148797-149615,819,149615
430,149616-150433,818,150433
429,150434-151199,766,151199
428,151200-152021,822,152021
427,152022-152752,731,152752
426,152753-153495,743,153495
425,153496-154215,720,154215
424,154216-154962,747,154962
423,154963-155642,680,155642
422,155643-156398,756,156398
421,156399-157137,739,157137
420,157138-157892,755,157892
419,157893-158594,702,158594
418,158595-159311,717,159311
417,159312-160051,740,160051
416,160052-160740,689,160740
415,160741-161451,711,161451
414,161452-162144,693,162144
413,162145-162888,744,162888
412,162889-163586,698,163586
411,163587-164253,667,164253
410,164254-164901,648,164901
409,164902-165558,657,165558
408,165559-166215,657,166215
407,166216-166876,661,166876
406,166877-167511,635,167511
405,167512-168185,674,168185
404,168186-168837,652,168837
403,168838-169504,667,169504
402,169505-170141,637,170141
401,170142-170816,675,170816
400,170817-171459,643,171459
399,171460-172091,632,172091
398,172092-172732,641,172732
397,172733-173349,617,173349
396,173350-173925,576,173925
395,173926-174531,606,174531
394,174532-175146,615,175146
393,175147-175738,592,175738
392,175739-176320,582,176320
391,176321-176884,564,176884
390,176885-177427,543,177427
389,177428-177984,557,177984
388,177985-178542,558,178542
387,178543-179119,577,179119
386,179120-179683,564,179683
385,179684-180231,548,180231
384,180232-180774,543,180774
383,180775-181343,569,181343
382,181344-181869,526,181869
381,181870-182438,569,182438
380,182439-182954,516,182954
379,182955-183461,507,183461
378,183462-183966,505,183966
377,183967-184451,485,184451
376,184452-184964,513,184964
375,184965-185445,481,185445
374,185446-185913,468,185913
373,185914-186375,462,186375
372,186376-186856,481,186856
371,186857-187331,475,187331
370,187332-187762,431,187762
369,187763-188182,420,188182
368,188183-188655,473,188655
367,188656-189102,447,189102
366,189103-189523,421,189523
365,189524-189937,414,189937
364,189938-190352,415,190352
363,190353-190736,384,190736
362,190737-191142,406,191142
361,191143-191538,396,191538
360,191539-191935,397,191935
359,191936-192354,419,192354
358,192355-192786,432,192786
357,192787-193166,380,193166
356,193167-193522,356,193522
355,193523-193877,355,193877
354,193878-194265,388,194265
353,194266-194636,371,194636
352,194637-195012,376,195012
351,195013-195375,363,195375
350,195376-195735,360,195735
349,195736-196052,317,196052
348,196053-196389,337,196389
347,196390-196733,344,196733
346,196734-197048,315,197048
345,197049-197386,338,197386
344,197387-197703,317,197703
343,197704-198049,346,198049
342,198050-198401,352,198401
341,198402-198721,320,198721
340,198722-199031,310,199031
339,199032-199334,303,199334
338,199335-199638,304,199638
337,199639-199953,315,199953
336,199954-200234,281,200234
335,200235-200502,268,200502
334,200503-200784,282,200784
333,200785-201049,265,201049
332,201050-201330,281,201330
331,201331-201583,253,201583
330,201584-201823,240,201823
329,201824-202088,265,202088
328,202089-202331,243,202331
327,202332-202575,244,202575
326,202576-202817,242,202817
325,202818-203084,267,203084
324,203085-203321,237,203321
323,203322-203551,230,203551
322,203552-203803,252,203803
321,203804-204045,242,204045
320,204046-204282,237,204282
319,204283-204515,233,204515
318,204516-204734,219,204734
317,204735-204946,212,204946
316,204947-205165,219,205165
315,205166-205372,207,205372
314,205373-205619,247,205619
313,205620-205841,222,205841
312,205842-206027,186,206027
311,206028-206240,213,206240
310,206241-206431,191,206431
309,206432-206611,180,206611
308,206612-206776,165,206776
307,206777-206960,184,206960
306,206961-207129,169,207129
305,207130-207294,165,207294
304,207295-207458,164,207458
303,207459-207645,187,207645
302,207646-207827,182,207827
301,207828-207975,148,207975
300,207976-208138,163,208138
299,208139-208314,176,208314
298,208315-208483,169,208483
297,208484-208647,164,208647
296,208648-208829,182,208829
295,208830-208980,151,208980
294,208981-209146,166,209146
293,209147-209310,164,209310
292,209311-209445,135,209445
291,209446-209585,140,209585
290,209586-209720,135,209720
289,209721-209856,136,209856
288,209857-209986,130,209986
287,209987-210111,125,210111
286,210112-210247,136,210247
285,210248-210380,133,210380
284,210381-210507,127,210507
283,210508-210632,125,210632
282,210633-210747,115,210747
281,210748-210880,133,210880
280,210881-210995,115,210995
279,210996-211113,118,211113
278,211114-211222,109,211222
277,211223-211326,104,211326
276,211327-211414,88,211414
275,211415-211518,104,211518
274,211519-211632,114,211632
273,211633-211745,113,211745
272,211746-211859,114,211859
271,211860-211979,120,211979
270,211980-212085,106,212085
269,212086-212193,108,212193
268,212194-212294,101,212294
267,212295-212409,115,212409
266,212410-212499,90,212499
265,212500-212580,81,212580
264,212581-212691,111,212691
263,212692-212789,98,212789
262,212790-212874,85,212874
261,212875-212956,82,212956
260,212957-213015,59,213015
259,213016-213096,81,213096
258,213097-213181,85,213181
257,213182-213246,65,213246
256,213247-213326,80,213326
255,213327-213413,87,213413
254,213414-213490,77,213490
253,213491-213555,65,213555
252,213556-213625,70,213625
251,213626-213699,74,213699
250,213700-213764,65,213764
249,213765-213829,65,213829
248,213830-213894,65,213894
247,213895-213951,57,213951
246,213952-214006,55,214006
245,214007-214072,66,214072
244,214073-214138,66,214138
243,214139-214206,68,214206
242,214207-214252,46,214252
241,214253-214300,48,214300
240,214301-214360,60,214360
239,214361-214414,54,214414
238,214415-214453,39,214453
237,214454-214513,60,214513
236,214514-214566,53,214566
235,214567-214617,51,214617
234,214618-214663,46,214663
233,214664-214716,53,214716
232,214717-214759,43,214759
231,214760-214795,36,214795
230,214796-214830,35,214830
229,214831-214879,49,214879
228,214880-214923,44,214923
227,214924-214952,29,214952
226,214953-214988,36,214988
225,214989-215028,40,215028
224,215029-215069,41,215069
223,215070-215102,33,215102
222,215103-215127,25,215127
221,215128-215156,29,215156
220,215157-215183,27,215183
219,215184-215213,30,215213
218,215214-215248,35,215248
217,215249-215276,28,215276
216,215277-215313,37,215313
215,215314-215346,33,215346
214,215347-215378,32,215378
213,215379-215407,29,215407
212,215408-215430,23,215430
211,215431-215455,25,215455
210,215456-215488,33,215488
209,215489-215510,22,215510
208,215511-215534,24,215534
207,215535-215562,28,215562
206,215563-215576,14,215576
205,215577-215601,25,215601
204,215602-215617,16,215617
203,215618-215639,22,215639
202,215640-215655,16,215655
201,215656-215671,16,215671
200,215672-215695,24,215695
199,215696-215708,13,215708
198,215709-215722,14,215722
197,215723-215737,15,215737
196,215738-215753,16,215753
195,215754-215766,13,215766
194,215767-215785,19,215785
193,215786-215801,16,215801
192,215802-215814,13,215814
191,215815-215827,13,215827
190,215828-215844,17,215844
189,215845-215853,9,215853
188,215854-215867,14,215867
187,215868-215877,10,215877
186,215878-215886,9,215886
185,215887-215897,11,215897
184,215898-215907,10,215907
183,215908-215914,7,215914
182,215915-215924,10,215924
181,215925-215934,10,215934
180,215935-215942,8,215942
179,215943-215951,9,215951
178,215952-215959,8,215959
177,215960-215967,8,215967
176,215968-215979,12,215979
175,215980-215985,6,215985
174,215986-215996,11,215996
173,215997-216005,9,216005
172,216006-216015,10,216015
171,216016-216018,3,216018
170,216019-216023,5,216023
169,216024-216031,8,216031
168,216032-216034,3,216034
167,216035-216039,5,216039
166,216040-216050,11,216050
165,216051-216053,3,216053
164,216054-216060,7,216060
163,216061-216063,3,216063
162,216064-216064,1,216064
161,216065-216068,4,216068
160,216069-216074,6,216074
159,216075-216079,5,216079
158,216080-216084,5,216084
157,216085-216091,7,216091
156,216092-216098,7,216098
155,216099-216103,5,216103
154,216104-216106,3,216106
153,216107-216114,8,216114
152,216115-216118,4,216118
151,216119-216122,4,216122
150,216123-216124,2,216124
149,216125-216126,2,216126
148,216127-216130,4,216130
147,216131-216131,1,216131
146,216132-216136,5,216136
145,216137-216138,2,216138
144,216139-216143,5,216143
143,216144-216146,3,216146
142,216147-216147,1,216147
141,216148-216151,4,216151
140,216152-216153,2,216153
